year,event,category,source
1866,159 Pioneer St built to house Pioneer Iron Works (foundry),building,Wikipedia
1881,Building burns; rebuilt,building,Wikipedia
2011,Dustin Yellin purchases 25000 sq ft building at 159 Pioneer St for $3.7M,building,FvF / Wikipedia / BkMag
2011,Sam Trimble leads renovation; 100 windows added; ~$200K initial budget largely from Yellin art sales,building,FvF
2012,Pioneer Works Art Foundation incorporated as 501(c)(3) (EIN 46-1097738); originally named Intercourse,org,IRS / ProPublica
2012-10,Hurricane Sandy floods ground floor with 5 ft of water,building,Wikipedia / BkMag
2013,Cultural center reopens under the name Pioneer Works,org,Wikipedia
2013,Second Sundays free monthly open house begins,program,pioneerworks.org / AAA
2014,Janna Levin joins as Founding Director of Sciences,leadership,Wikipedia
2014-05-04,First annual Village Fête spring benefit,program,pioneerworks.org
2017,FY2017 revenue $6.06M; first year top-officer comp visible in ProPublica summary,funding,ProPublica
2018,Spring + Summer + Fall residency cohorts (Khan / Liu / Rasheed / Syms / Allahyari etc.) hosted,program,e-flux 2018
2019,$30 million capital campaign launched (accessibility + observatory),funding,ArchPaper 2024 / Surface 2024
2019,FY2019 revenue spikes to $14.23M,funding,ProPublica (capital campaign launch year)
2019-12-19,Eric Shiner appointed first-ever Executive Director (start 6 Jan 2020),leadership,PR Newswire
2020,COVID closes the building; 7th annual Village Fête cancelled,org,pioneerworks.org
2020,Broadcast online magazine launched,program,Star-Revue 2024
2021,Eric Shiner departs Pioneer Works,leadership,Artnet
2022,Tenth-anniversary press cycle; 25000 sq ft / 40 ft ceilings facts re-confirmed,org,BkMag 2022 / ArtNews 2022
2023-09,Mara Manus appointed inaugural CEO; Austin Hearst named board chair,leadership,ArtForum 2023
2023-11,Broadcast Print Issue 01 published (with hannah baer / Levin / Park / Phillips),program,Star-Revue 2024
2024-01,Eight-month renovation closure begins,building,ArchPaper 2024
2024-09-06,Pioneer Works reopens; first ADA-accessible season; new elevator + HVAC + roof,building,ArchPaper 2024
2024-10-08,Fall Benefit / OPEN reopening gala (honoring Hearst + Yellin),program,Surface 2024
2025-02-13,Empire State Development announces completion of $12.7M renovation ($2.3M state / $10.4M private),funding,ESD 2025
2025-03,Mara Manus departs at end of month; Florenz expands to Executive Director,leadership,ArtForum 2025
2025-04,Stephanie Hemshrot appointed COO,leadership,ArtNews 2025
2025-05-06,Village Fête (David Byrne performance),program,ArtNews 2025
2025-2026,Public observatory build-out planned: 16-foot 1890s antique telescope on roof deck,program,Surface 2024
