name,role,period,notes,source
Mark Allen,Founder / Executive Director,2003--2018 (and continuing as legal entity ED post-closure),"artist and educator; Associate Professor of Art at Pomona College in Claremont; previously ran informal artist-run spaces in Houston; serves on Andy Warhol Foundation for the Visual Arts board; served 3-yr term on Hammer Museum Artist Advisory Board",CalArts 2010 Q&A + LATimes closure piece + Pomona College directory
Michele Yu,Operations Manager,2011-- (visible),"listed on the staff page snapshot dated March 30 2011; email michele@machineproject.com",machineproject.com/archival/staff/
Jason Brown,Co-editor (Field Guide),2008--2010,"co-edited Field Guide to LACMA; CalArts Critical Studies/Integrated Media MFA '00 per CalArts profile of Allen",CalArts 2010 Q&A + Field Guide book
Liz Glynn,Co-editor (Field Guide) / Collaborator,2008--2010,"co-edited Field Guide to LACMA; collaborated with Mark Allen during the Hammer A.I.R. research phase June--Oct 2009",CalArts 2010 Q&A + Hammer residency page + Field Guide book
Sara Roberts,Board (per CalArts interview),2010 (visible),"described in 2010 CalArts interview as on Machine Project board; CalArts Composition & Experimental Sound Practices faculty",CalArts 2010 Q&A
Mary Fagot,Chair (Board of Directors),FY2017 (visible),"FY2017 Form 990 listing",ProPublica 990 FY2017
Kerry Hannawell,Treasurer (Board of Directors),FY2017 (visible),"FY2017 Form 990 listing",ProPublica 990 FY2017
Jimmy Fusil,Secretary (Board of Directors),FY2017 (visible),"FY2017 Form 990 listing",ProPublica 990 FY2017
Tatiana Hernandez,Director (Board),FY2017 (visible),"FY2017 Form 990 listing",ProPublica 990 FY2017
Ken Bensinger,Director (Board),FY2017 (visible),"FY2017 Form 990 listing",ProPublica 990 FY2017
Sarah Schultz,Director (Board),FY2017 (visible),"FY2017 Form 990 listing",ProPublica 990 FY2017
Thas Naseemuddeen,Director (Board),FY2017 (visible),"FY2017 Form 990 listing",ProPublica 990 FY2017
Ava Bromberg,Director (Board),FY2017 (visible),"FY2017 Form 990 listing",ProPublica 990 FY2017
Allison Agsten,Hammer A.I.R. counterpart,2009--2011,"Hammer Museum Director of Public Engagement; co-author with Allen of Hammer A.I.R. Report (2012)",Hammer A.I.R. report 2012
Tom Jennings,Inaugural artist,Dec 6 2003--Jan 24 2004,"FidoNet pioneer; first show was Tom Jennings -- Story Teller",Wikipedia + machineproject.com
Patrick Ballard,Recurring collaborator,2014--2015 (visible),"Gamble House vortex puppet sculpture (2014); Return to Foreverhouse 2-month installation at storefront (2015)",Wikipedia + Pasadena Art Alliance grantee page
Bob Dornberger,Collaborator (Gamble House),2014,"created secret basement restaurant during the 2014 Gamble House intervention",Wikipedia
Asher Hartman,Collaborator / Playwright,2017 (visible),"playwright behind 'Sorry, Atlantis: Eden's Achin' Organ Seeks Revenge' (Sept-Nov 2017)",Hyperallergic + Platinum Collection book
Cliff Hengst,Collaborator,various,"conducted architectural tours for Machine Project; named contributor in Platinum Collection",Artforum closure + Platinum Collection book
Joshua Beckman,Collaborator,2008+,"Field Guide LACMA performer; named contributor in Platinum Collection (Wave Books)",LACMA Field Guide event page + Platinum Collection book
Anthony McCann,Collaborator,2008+,"Field Guide LACMA performer",LACMA Field Guide event page
Fritz Haeg,Collaborator,2008,"Field Guide LACMA performer (Fallen Fruit Project context)",LACMA Field Guide event page
Carmina Escobar,Collaborator,various,"named contributor in Platinum Collection",Platinum Collection book
Chris Kallmyer,Collaborator,various,"named contributor in Platinum Collection",Platinum Collection book
Dawn Kasper,Collaborator,2008+,"Field Guide LACMA performer; named contributor in Platinum Collection",Field Guide + Platinum Collection
Hana van der Kolk,Collaborator,various,"named contributor in Platinum Collection",Platinum Collection book
Krystal Krunch,Collaborator,various,"named contributor in Platinum Collection",Platinum Collection book
Kamau Amu Patton,Collaborator,various,"named contributor in Platinum Collection",Platinum Collection book
Haruko Tanaka,Collaborator,various,"named contributor in Platinum Collection",Platinum Collection book
Charlotte Cotton,Essayist (Platinum Collection),2016,"essay contributor to Platinum Collection book",Platinum Collection book
Ian Berry,Essayist (Platinum Collection),2016,"essay contributor; Tang Director",Platinum Collection book
Rachel Seligman,Co-editor (Platinum Collection),2016,"co-editor of Tang/Prestel Platinum Collection book",Platinum Collection book
Kimberly Varella,Designer (Platinum Collection),2016,"book designer; Content Object Design Studio",content-object.com + Tang publications
