name,role,start_year,end_year,notes,source
Steina Vasulka,Founder / Co-Director,1971,1973,Video artist; Icelandic-born violinist; co-founded as artist collective in the kitchen of Mercer Arts Center; departed 1973 when org incorporated,Wikipedia / The Kitchen About / Vasulka archive
Woody Vasulka,Founder / Co-Director,1971,1973,Czech-born filmmaker / video artist; co-founded the space as a presentation venue for video art; departed 1971 (operationally) and formally 1973,Wikipedia / The Kitchen About
Andy Mannik,Co-founding collaborator,1971,,Helped Vasulkas launch the original Mercer Arts Center kitchen space,Wikipedia
Rhys Chatham,Music Director,1971,1973,Co-director in the founding period; later returned 1977-1980; long-influence on no-wave era programming,Wikipedia / The Kitchen About
Shridhar Bapat,Co-Director (founding period),1971,1973,Listed as one of the co-directors during the early collective phase,The Kitchen Field Notes 2021-2022
Dimitri Devyatkin,Co-Director (founding period),1971,1973,Listed as co-director during the founding collective period,The Kitchen Field Notes 2021-2022
Tom Bowes,Video Director,1971,1973,,Wikipedia
Robert Stearns,Executive Director,1973,,"First Executive Director after 1973 incorporation as Haleakala Inc; previously at Paula Cooper Gallery; oversaw the move to 484 Broome Street",The Kitchen About / Wikipedia
Arthur Russell,Music Director,1974,1975,Composer / cellist / disco-classical figure,Wikipedia / The Kitchen Archives
Garrett List,Music Director,1975,1977,Trombonist / composer,Wikipedia
Robert Longo,Acting Video Curator,1977,1978,Visual artist; later known for Pictures Generation work,The Kitchen Archives
Rhys Chatham,Music Director (second tenure),1977,1980,,Wikipedia
Mary MacArthur,Executive Director,1978,1984,Née Griffin; launched The Kitchen Presents broadcast initiative; invited Carlota Schoolman to produce video for TV,The Kitchen Archives
Leonardo Katz,Filmworks Curator,1978,,Conceived Filmworks program series,The Kitchen Archives
Carlota Schoolman,Producer / Director of Television,1978,,Producing video for television under The Kitchen Presents,The Kitchen Archives
Amy Taubin,Guest Curator,1982,1982,Curated Filmworks '82,The Kitchen Archives
George E. Lewis,Music Director,1980,1982,AACM-affiliated trombonist / composer / scholar,Wikipedia
Ann DeMarinis,Music Director,1982,1985,,Wikipedia
Arto Lindsay,Music Director,1986,1987,DNA / no-wave guitarist; first music director after Chelsea move,Wikipedia
Lauren Dyer Amazeen,Executive Director,1991,1997,Later founded Vanguard Visions Inc; now Chair of Cove Park (Scotland),Vanguard Visions / LinkedIn / Wikipedia
Elise Bernhardt,Executive Director,1998,2004,Conceived TV Dinner program; later President / CEO of Foundation for Jewish Culture,The Kitchen Archives / artforum
Debra Singer,Executive Director and Chief Curator,2004,2011,Former Whitney Museum curator; first to combine ED and Chief Curator titles,artforum / The Kitchen Archives
Tim Griffin,Executive Director and Chief Curator,2011,2021,Former Artforum editor-in-chief 2003-2010; launched The Kitchen L.A.B. talk series and Synth Nights electronic music series; departed in 2020-2021 transition; later ED of The Industry (LA opera company),Wikipedia / artforum / artnews
Legacy Russell,Executive Director and Chief Curator,2021,,"Started September 2021; first Black executive director and chief curator in The Kitchen's history; author of Glitch Feminism (2020) and Black Meme (2024); came from Studio Museum in Harlem",artnet / Culture Type / Wikipedia
Lumi Tan,Senior Curator,~2010,2022,Twelve-year tenure; organized 100+ exhibitions and performances; departed to Frieze NY,Madame Architect / frieze
Matthew Lyons,Curator,2007,,Long-tenure curator; still on staff 2025,The Kitchen Archives / The Kitchen About
Robyn Farrell,Director of Curatorial Affairs and Senior Curator,,,Current curatorial leadership,The Kitchen About
Angelique Rosales Salgado,Assistant Curator,,,Current,The Kitchen About
Alison Burstein,Curator of Media and Engagement,,,On staff during 2021-2022 transition,The Kitchen Field Notes
Sienna Fekete,Curatorial Fellow,,,2021-2022 cohort,The Kitchen Field Notes
Paula Cooper,Board (founding) / Chairperson Emeritus,1973,,Art dealer; on the founding board of Haleakala Inc 1973,The Kitchen Field Notes / The Kitchen About
Philip Glass,Board (founding) / Chairperson Emeritus,1973,,Composer; on the founding board of Haleakala Inc 1973; performed at the original Kitchen,The Kitchen Field Notes / The Kitchen About
Caroline Stone,Board (founding),1973,,Artist; on the founding board of Haleakala Inc 1973,The Kitchen Field Notes
Robert Soros,Board Chairperson (current),,,Current chair,The Kitchen About
