funder,date,amount_usd,program_area,project,term_months,source_url,notes
Mellon Foundation,2015-12-10,600000,Public Knowledge,Webrecorder development (preservation of web-based resources),24,https://www.mellon.org/grant-details/web-archiving-tools-11233,
Mellon Foundation,2017-12-07,1000000,Public Knowledge,Webrecorder Phase Two (further software development),24,https://mellon.org/grants/grants-database/grants/rhizome-communications-inc/1708-04727/,
Mellon Foundation,2019-12-09,146000,Public Knowledge,Webrecorder sustainability planning,6,https://www.mellon.org/grant-details/rhizome-communications-inc.-20446351,bridge planning grant before Conifer spin-out
Mellon Foundation,2021-09-13,1000000,Public Knowledge,Change Capital — long-term resilience & operating reserves,60,https://mellon.org/grants/grants-database/grants/rhizome-communications-inc/2103-10317/,Nonprofit Finance Fund cohort; funded Development Director + Community Designer hires
Mellon Foundation,2024-06-24,750000,Arts and Culture,ArtBase overhaul (publicly accessible archive of digital art),36,https://www.mellon.org/grant-details/rhizome-communications-inc.-20457552,
Mellon Foundation,2024-12,195000,Public Knowledge,Change-capital business model development (continuation),,causeiq.com,additional disbursement on the 2021 Change Capital line
Mellon Foundation,2025,320000,,project unspecified,,causeiq.com,
Fidelity Investments Charitable Gift Fund,2024-06,76220,DAF pass-through,For grant recipient's exempt purposes,,causeiq.com,donor-advised fund routing individual donor money
Carolyn K Tribe Foundation,2025,10000,,unspecified,,causeiq.com,family foundation associated with Mark Tribe (Rhizome founder)
Teiger Foundation,2025,25000,Commissions Program,unspecified,,causeiq.com,recurring funder of Rhizome Commissions
Daffy Charitable Fund,2025,11495,DAF pass-through,,,causeiq.com,donor-advised fund routing individual donor money
Knight Foundation,,200000,,Webrecorder public engagement,,https://rhizome.org/editorial/2018/jan/11/rhizome-awarded-1000000/,exact year TBD; supported microgrants thread tied to Webrecorder rollout
NEH,,45000,Digital preservation / humanities,Early Online Communities in Context (The Thing BBS + CyberPowWow),,https://www.neh.gov/grants,year TBD; partnered with Initiative for Indigenous Futures
Andy Warhol Foundation,,,Visual Arts,Commissions Program (recurring),,https://warholfoundation.org/grants/,recurring funder of Rhizome Commissions; specific year/amount entries TBD
Jerome Foundation,,,,Commissions Program (recurring),,https://www.jeromefdn.org/,recurring funder of Rhizome Commissions; specific year/amount entries TBD
Greenwall Foundation,,,,Commissioning Program,,https://greenwall.org/,recurring funder; specific year/amount entries TBD
American Chai Trust,,,,Commissions Program,,,recurring funder of Rhizome Commissions
NEA,,,,Commissions Program (recurring funder),,https://grantsearch.nea.gov/,specific grant rows blocked behind JS-rendered Kendo grid; need manual pull
NYSCA,,,,Commissions Program (recurring funder),,https://arts.ny.gov/,New York State Council on the Arts; recurring
NYC DCLA,,,,General operating support,,https://www.nyc.gov/site/dcla/,NYC Dept of Cultural Affairs; recurring
IMLS,,,,Digital social memory research,,https://www.imls.gov/,referenced in Rhizome editorial; specific year/amount TBD
Deutsche Bank Americas Foundation,2022,,,Whistlegraph workshops for ages 13–18 in Queens (First Look commission),,https://www.db.com/usa/our-foundation,confirmed via arxiv-whistlegraph
