name,role,start_year,end_year,notes,source
Dustin Yellin,President & Founder,2012,,"LA-born artist; ""Frozen Cinema"" glass-collage sculptor; bought 159 Pioneer St in 2011 for $3.7M",Wikipedia / FvF / BkMag
Gabriel Florenz,Founding Artistic Director,2012,,"Yellin's second cousin; former studio assistant; ""central role in establishing the nonprofit""",Wikipedia / ArtForum 2025
Gabriel Florenz,Executive Director,2025,,Expanded from Founding Artistic Director title in March 2025 after Manus departure,ArtForum 2025
Janna Levin,Founding Director of Sciences,2014,,"Claire Tow Professor of Physics & Astronomy, Barnard / Columbia; author Black Hole Blues (2016); editor-in-chief Broadcast",Wikipedia / Broadcast
Eric Shiner,Executive Director,2020,2021,"Started 6 Jan 2020; first-ever ED. Prior: White Cube NY artistic dir; Andy Warhol Museum dir 2010-2016; Sotheby's SVP",PR Newswire 2019 / Artnet
Mara Manus,CEO,2023,2025,"Inaugural CEO title; started Sept 2023; departed end of March 2025. Prior: NYSCA exec dir 7 yrs; Public Theater exec dir; Ford Foundation",ArtForum 2023 / 2025
Stephanie Hemshrot,COO,2025,,Appointed April 2025; led capital projects + operations from 2021,ArtNews 2025
Matthew Putman,Science Programming (Scientific Controversies),2014,,Nano-physicist; co-host of Scientific Controversies with Levin,Wikipedia
Joshua Jelly-Schapiro,Co-Editor-in-Chief Broadcast,2020,,Geographer / writer,Star-Revue 2024
Lucy McKeon,Senior Editor Broadcast,2020,,,Star-Revue 2024
David Everitt Howe,Senior Editor Broadcast,2020,,,Star-Revue 2024
Stella Belt,Assistant Editor Broadcast,2020,,,Star-Revue 2024
Michael Jones,Co-founding Managing Editor Broadcast,2020,,,Star-Revue 2024
Lauren Silbert,Resident Neuroscientist,,,"Founded the AAA observing partnership for Second Sundays",AAA 2018
Sam Trimble,Architect (2011 renovation),2011,,Lead architect for the original 100-window renovation,Wikipedia
Austin Hearst,Board Chair,2023,,Hearst family; named chair in 2023 Manus appointment,ArtForum 2023
David Belt,Board Co-Vice-Chair,,,Real-estate developer; named co-vice-chair in 2025 ESD release,ESD 2025
Julia Bator,Board,2019,,Named in Shiner appointment,PR Newswire 2019
Alan Tisch,Board,2019,,Named in Shiner appointment,PR Newswire 2019
Andres Santo Domingo,Board,2019,,Named in Shiner appointment,PR Newswire 2019
Leyli Zohrenejad,Board,2019,,Named in Shiner appointment,PR Newswire 2019
Kyra Tirana Barry,Board,2023,,Named in Manus appointment,ArtForum 2023
Alex Black,Board,2023,,Named in Manus appointment,ArtForum 2023
Mary Cunney,Board,2023,,Named in Manus appointment,ArtForum 2023
Mark Dalio,Board,2023,,Named in Manus appointment,ArtForum 2023
Tiffiney Davis,Board,2023,,Named in Manus appointment,ArtForum 2023
Ron Elum,Board,2023,,Named in Manus appointment,ArtForum 2023
Matthew Harris,Board,2023,,Named in Manus appointment,ArtForum 2023
Stephanie Ingrassia,Board,2023,,Named in Manus appointment,ArtForum 2023
Neal Katyal,Board,2023,,Named in Manus appointment,ArtForum 2023
Tom X. Lee,Board,2023,,Named in Manus appointment,ArtForum 2023
Charles Meyer,Board,2023,,Named in Manus appointment,ArtForum 2023
Abby Pucker,Board,2023,,Named in Manus appointment,ArtForum 2023
Richard Sarnoff,Board,2023,,Named in Manus appointment,ArtForum 2023
David Byrne,Advisory Board,,,Talking Heads / former; advisory board per BkMag 2022,BkMag 2022
Princess Eugenie of York,Advisory Board,,,Per BkMag 2022,BkMag 2022
Justin Vernon,Advisory Board,,,Bon Iver; per BkMag 2022,BkMag 2022
Kehinde Wiley,Advisory Board,,,Painter; per BkMag 2022,BkMag 2022
