years,name,role,source,note
2007-2012,Paul Steiger,Founding editor-in-chief CEO and president,ProPublica leadership,Executive chairman 2013-2020; founder emeritus
2007-2021,Richard Tofel,Founding general manager then president,ProPublica Herbert Sandler remembrance,President January 2013-September 2021
2013-present,Stephen Engelberg,Editor-in-chief,ProPublica 2025 Annual Report,Co-CEO on FY2024 Form 990
2021-present,Robin Sparkman,President,ProPublica 2025 Annual Report,Co-CEO and treasurer on FY2024 Form 990
current,Charles Ornstein,"Managing Editor, Local",ProPublica 2025 Annual Report,
current,Ginger Thompson,Managing Editor,ProPublica 2025 Annual Report,
current,Tracy Weber,Managing Editor,ProPublica 2025 Annual Report,
current,Tyson Evans,Chief Product and Brand Officer,ProPublica 2025 Annual Report,
current,Jeremy Kutner,General Counsel,ProPublica 2025 Annual Report,
current,Stephanie Little,Chief Financial and Administrative Officer,ProPublica 2025 Annual Report,
current,Ragan Rhyne,Chief Development Officer,ProPublica 2025 Annual Report,
current,Alexandra Zayas,Deputy Managing Editor,ProPublica 2025 Annual Report,
