funder,type,year(s),amount,program_supported,source
LACMA Public Programs,institutional partner,2008,(undisclosed; cofunded the Field Guide),"A Machine Project Field Guide to LACMA (Nov 15 2008)",machineproject.com event page
Ralph M. Parsons Endowment (LACMA),endowment,2008,(undisclosed; cofunded the Field Guide),"A Machine Project Field Guide to LACMA (Nov 15 2008)",machineproject.com event page
James Irvine Foundation,foundation,2009,$1000000 (Arts Innovation Fund grant to Hammer Museum, not directly to Machine),"Hammer Public Engagement A.I.R. residency that named Machine the first artist-in-residence",hammer.ucla.edu artist-residencies + Daily Bruin coverage
Hammer Museum (UCLA),institutional partner,2009-2011,(undisclosed; covered residency programming costs),"Public Engagement A.I.R. residency: ~75-80 onsite programs",hammer.ucla.edu + Hammer A.I.R. Report 2012
Frances Young Tang Teaching Museum at Skidmore College,institutional partner,2015-2016,(undisclosed; commissioned the retrospective exhibition + co-published the book),"Machine Project -- The Platinum Collection (Live by Special Request) Sept 19 2015 -- Jan 3 2016 + 2016 hardcover book",tang.skidmore.edu + Platinum Collection book
DelMonico-Prestel,publisher,2016,(co-publisher; not a grant),"Machine Project: The Platinum Collection book (ISBN 978-3-7913-5619-8)",Platinum Collection book
Pasadena Art Alliance,foundation,2015,(undisclosed),"Patrick Ballard, Return to Foreverhouse: kinetic sculptural environment with 2-month programming series at the storefront",pasadenaartalliance.org/grant/machine-project/
LA County Department of Arts and Culture,public agency,(year(s) undisclosed),(undisclosed),"general operating support; Machine Project profiled on LA County Arts grantees page",lacountyarts.org/machine-project
Members and individual donors,base,2003-2018,(aggregated),"Machine Project keeps its doors open thanks to our members and volunteers (machineproject.com)",machineproject.com/archival/about/
Membership program,base,2003-2018,(aggregated),"individual memberships",machineproject.com/archival/about/
Wave Books,institutional partner,various,(undisclosed),"Joshua Beckman / poetry events at the storefront",Platinum Collection book
