name,role,start_year,end_year,notes,source
Brewster Kahle,Founder / Digital Librarian / Board Chair,1996,,Born 1960 NYC; MIT 1982; co-founder Thinking Machines / WAIS Inc / Alexa Internet (sold to Amazon 1999 for $250M stock); Internet Hall of Fame 2012; National Academy of Engineering 2010; founder Kahle/Austin Foundation,Wikipedia / archive.org
Mary Austin,Co-founder Kahle/Austin Foundation,1996,,Wife of Brewster Kahle; co-funds Internet Archive via family foundation,Wikipedia
Rick Prelinger,Board President,,,Pro bono; founder of the Prelinger Archives (acquired by Library of Congress 2002),Wikipedia / archive.org
David Rumsey,Board Member,,,Founder David Rumsey Map Collection; longtime IA board,Wikipedia
Kathleen Burch,Board Member,,,California Institute of Integral Studies; San Francisco Center for the Book co-founder,IRS 990
Scott Fong,Board Secretary,,,2024 990 lists as Secretary,IRS 990 / CauseIQ
Mark Graham,Director Wayback Machine,,,$229362 reportable comp FY2024; principal spokesperson for Wayback,990 / press
Jefferson Bailey,Director Web Archiving,,,$229246 reportable comp FY2024; oversees Archive-It,990 / press
Joy Chesbrough,Director Philanthropy,,,$246421 reportable comp FY2024 (highest paid in FY2024 disclosure),990 / press
Samuel Stoller,Senior Engineer,,,$222134 reportable comp FY2024,990
Kenji Nagahashi,Senior Engineer,,,$218406 reportable comp FY2024,990
Wendy Hanamura,Director of Partnerships (former),,,Long-tenure staffer; key partnerships voice,archive.org / press
Chris Freeland,Director Open Libraries / Director Library Services (recent),,,Public spokesperson during Hachette litigation,blog.archive.org
Ilya Kreymer,Webrecorder developer (former),,,Started Webrecorder at Rhizome; spun out independently 2020,Rhizome dossier
Aaron Swartz,Open Library co-founder,2006,2013,Co-founded Open Library 2006; deceased 2013,Wikipedia
George Blood,Audio digitization partner (Great 78),,,Independent contractor; runs digitization studio in Philadelphia,Wikipedia
