funder,year,amount_usd,tier,notes,source
Andrew W. Mellon Foundation,2022-12-08,1500000,major (lead),"""New Director Vision"" grant (36mo); supports Salome Asega's vision — growing staff capacity, enhancing membership model, growing reach of artist ventures. The largest single named institutional grant on the public NEW-INC-tagged record.",https://www.mellon.org/grant-details/new-director-vision-20452850
Andrew W. Mellon Foundation,2011-03-10,486000,major,"$486K / 36mo to New Museum for ""preservation of and access to primary source documentation in the field of contemporary art"" — pre-NEW INC; parent-org grant",https://mellon.org/grants/grants-database/grants/new-museum-of-contemporary-art/11100605/
John S. and James L. Knight Foundation,2017-04-13,250000,major,Museum Tech Track launch (Year 4); subsidized memberships + $10K seed for up to 5 teams; Museum Tech Bootcamp,https://legacy.knightfoundation.org/press/releases/new-inc-the-new-museum-s-cultural-incubator-expands-inviting-applications-from-museum-professionals-focused-on-using-tech-to-engage-audiences/
John S. and James L. Knight Foundation,,660000,major (follow-on),"Follow-on Knight investment to ""drive development of new technologies for art museums"" — $660K cited in subsequent Knight press release; year TBD",https://knightfoundation.org/press/releases/new-inc-drives-development-of-new-technologies-for-art-museums/
Patrick J. McGovern Foundation,(current),,major,"Year 12 (2025-26) — supports Art & Code track in partnership with Rhizome",newmuseum.org press release / rhizome.org
Simons Foundation,(current),,major,"Year 12 (2025-26) — supports Creative Science track",newmuseum.org / newinc.org/creativescience
EY (Ernst & Young),(current),,corporate partner,"Year 12 (2025-26) — supports Extended Realities track via EY Metaverse Lab partnership",newmuseum.org press release
Onassis ONX,(current),,partner,"Year 12 (2025-26) — supports Extended Realities track in partnership with Onassis ONX",newmuseum.org press release
Jonathan D. & Mark C. Lewis Foundation,(current),,major,"Year 12 (2025-26) — supports Social Architecture track",newmuseum.org press release
Meta Open Arts,(prior),,corporate partner,"Sponsored DEMO festival in a prior year; year TBD",demo festival press
Nokia Bell Labs,(post-2018),,partner,"Partnered with NEW INC on artist residency program; Kaganskiy served as Curatorial Advisor",Wikipedia (Kaganskiy)
Ford Foundation,(implicit),,,"Asega arrived from Ford in 2021 (4yr fellowship); not a confirmed direct grant to NEW INC",inferred — confirm via Mellon-style direct database lookup TBD
NYSCA / NYC DCLA,,,,"Standard NYC museum public-funding lines; specific NEW-INC-earmarked amounts TBD — likely lumped into parent New Museum 990",inferred
