year,event,category,source
1996,John S. Johnson III begins planning art-and-technology center with David S. Johnson and Roderic R. Richardson,org,Wikipedia
1997-10,IRS 501(c)(3) determination as Eyebeam Atelier Inc (EIN 13-3952075),org,ProPublica
1998,Public programming begins; Digital Day Camp launched,program,Wikipedia
1998,"Interaction" online forum curated by Jordan Crandall (Manovich Hayles Sassen Obrist Critical Art Ensemble Mark Tribe et al),program,Wikipedia
2000,International architectural competition announced for purpose-built museum at 540 W 21st (won by Diller + Scofidio),org,MoMA / Domus
2002,First Open Studios,program,Wikipedia
2002,Carnivore (Galloway) wins Prix Ars Electronica Golden Nica,recognition,Wikipedia
2003,Noderunner (Gitman + Gomez de Llarena) wins Prix Ars Electronica Golden Nica,recognition,Wikipedia
2004,John S. Johnson III steps down; Steven Tremble brief tenure,leadership,Wikipedia
2005,Amanda McDonald Crowley becomes ED,leadership,Wikipedia
2005,OpenLab launches; Graffiti Research Lab founded by Powderly + Roth,program,Wikipedia
2007-late,MIXER performance series begins,program,Wikipedia
2008,littleBits (Bdeir) developed at Eyebeam,program,Wikipedia
2011,Amanda McDonald Crowley departs; Patricia C. Jones becomes ED,leadership,Wikipedia
2011,littleBits enters MoMA permanent collection,recognition,Wikipedia
2014-02,Art + Feminism Wikipedia Edit-A-Thon hosted at Chelsea space,program,Wikipedia
2014,Org leaves Chelsea / 540 W 21st St; planned BAM Cultural District move falls through; takes 4-year lease at Industry City Sunset Park,location,technically.ly + hyperallergic
2014,Atlantic Foundation seed funding from sale-of-W-21st-building proceeds,funding,technically.ly
2015,Patricia C. Jones departs; Roddy Schrock becomes ED,leadership,Wikipedia
2017-11-02,"Move to 199 Cook Street, Bushwick (6,000 sq ft Mann Group industrial-arts complex)",location,hyperallergic
2018,20th anniversary programming runs through Spring 2018,org,Wikipedia
2018,Eyebeam Center for the Future of Journalism (CFFJ) launches under Marisa Mazria Katz,program,Wikipedia
2019,Advisory Board established,org,eyebeam changelog
2020-04-28,Henry Luce COVID Emergency Grant ($150K),funding,hluce.org
2020-04-29,Mellon $150K for Rapid Response Fund (12mo),funding,mellon.org
2020-05,Rapid Response for a Better Digital Future inaugural fully-digital fellowship launches (30 artists Phase I),program,eyebeam.org
2020-10,Rapid Response Phase II — 8 artists awarded up to $25K each,program,eyebeam.org
2021-06-11,Mellon $600K general operating support (36mo),funding,mellon.org
2021-10-28,The Democracy Machine launches (3yr $1.5M 75-artist program with Ford / Mellon / Luce),program,eyebeam.org
2023-03-29,Mellon $92.4K for Eyebeam + Momus + Forge Project Indigenous-writers residency,funding,mellon.org
2023-05,Multiple programs added to public site (CFFJ Democracy Machine Digital Day Camp VH Award),program,eyebeam changelog
2024-03-22,Mellon $150K for AI & arts convening (12mo),funding,mellon.org
2025-03-13,Leadership message from Roddy Schrock on transition,leadership,eyebeam changelog
2025-06-30,Sheetal Prajapati announced as Interim Executive Director (start July 1),leadership,eyebeam.org
2025-11-14,Permanent ED search announced,leadership,eyebeam changelog
2025-11-17,Year-end fundraising campaign launched,funding,eyebeam changelog
2026,Speculating on Plurality 2025-2026 season; 12-week NYC residency at NYU Tandon for 6 emerging artists,program,eyebeam.org
2026-04-06,Julia Kaganskiy announced as Executive Director (NEW INC founder),leadership,eyebeam.org
