date,event,source
2009,CultureHub founded through collaboration between La MaMa and Seoul Institute of the Arts,CultureHub About
2010-06,IRS tax-exempt ruling effective; 501(c)(3) public charity,ProPublica/IRS
2011,First extracted Form 990 year shows $121489 revenue,ProPublica/IRS
2018,Public residency roster begins on current archive surface,CultureHub Residency
2019,Re–Fest annual theme archive begins with Re–Generation/Circumstances vary by page,CultureHub Re–Fest
2020-03-20,Downtown Variety begins as a networked pandemic-era live series,Mattie Barber-Bockelman profile
2021,LiveLab described as free open-source browser-based WebRTC media router,CultureHub LiveLab
2025,FY2025 revenue $846390 and expenses $745968; highest extracted revenue to date,ProPublica/IRS
2025-11-20,Signal Distance residency public run begins in New York,CultureHub Signal Distance
2026,LA residency call offers three residents one-to-two weeks and $2000 stipend,CultureHub Residency
2026,NYC residency shifts to joint international model with Berlin Montreal and Umbria partners,CultureHub Residency
