name,year,cohort,notes,source
Tom Lloyd,1969,Inaugural,First artist-in-residence; subject of inaugural exhibition Electronic Refractions II (1968),studiomuseum.org/history
David Hammons,1980-1981,(early),"Major figure of post-war American art; AIR per studiomuseum.org/residency",studiomuseum.org/residency
Maren Hassinger,(early years),(unspecified),"Listed among early AIR alumni",studiomuseum.org
Kerry James Marshall,(unspecified),(unspecified),"Listed among notable AIR alumni",studiomuseum.org
Julie Mehretu,(unspecified),(unspecified),"Listed among notable AIR alumni",studiomuseum.org
Mickalene Thomas,(unspecified),(unspecified),"Listed among notable AIR alumni",studiomuseum.org
Wangechi Mutu,2003-2004,(unspecified),"Per studiomuseum.org/residency",studiomuseum.org/residency
Louis Delsarte,1979-1980,(early documented),Wikipedia AIR table,Wikipedia
Sana Musasama,1983-1984,(early documented),Wikipedia AIR table,Wikipedia
Chakaia Booker,1995-1996,,Wikipedia AIR table,Wikipedia
June Clark,1996-1997,,Wikipedia AIR table,Wikipedia
Gregory Coates,1996-1997,,Wikipedia AIR table,Wikipedia
Sanford Biggers,1999-2000,,Wikipedia AIR table,Wikipedia
Kehinde Wiley,2001-2002,Freestyle-era,Wikipedia AIR table,Wikipedia
William Cordova,2004-2005,,Wikipedia AIR table,Wikipedia
Tanea Richardson,2007-2008,,Wikipedia AIR table,Wikipedia
Mequitta Ahuja,2009-2010,,Wikipedia AIR table,Wikipedia
Lauren Kelley,2009-2010,,Wikipedia AIR table,Wikipedia
Valerie Piraino,2009-2010,,Wikipedia AIR table,Wikipedia
Kamau Amu Patton,2010-2011,,Wikipedia AIR table,Wikipedia
Paul Mpagi Sepuya,2010-2011,,Wikipedia AIR table,Wikipedia
Simone Leigh,2010-2011,,Wikipedia AIR table,Wikipedia
Meleko Mokgosi,2011-2012,,Wikipedia AIR table,Wikipedia
Njideka Akunyili Crosby,2011-2012,,Wikipedia AIR table,Wikipedia
Xaviera Simmons,2011-2012,,Wikipedia AIR table,Wikipedia
Steffani Jemison,2012-2013,,Wikipedia AIR table,Wikipedia
Jennifer Packer,2012-2013,,Wikipedia AIR table,Wikipedia
"Cullen Washington Jr.",2012-2013,,Wikipedia AIR table,Wikipedia
Kevin Beasley,2013-2014,,Wikipedia AIR table,Wikipedia
Bethany Collins,2013-2014,,Wikipedia AIR table,Wikipedia
Abigail DeVille,2013-2014,,Wikipedia AIR table,Wikipedia
Eric N. Mack,2014-2015,,Wikipedia AIR table,Wikipedia
Lauren Halsey,2014-2015,,Wikipedia AIR table,Wikipedia
Sadie Barnette,2014-2015,,Wikipedia AIR table,Wikipedia
Jordan Casteel,2015-2016,,Wikipedia AIR table,Wikipedia
EJ Hill,2015-2016,,Wikipedia AIR table,Wikipedia
Jibade-Khalil Huffman,2015-2016,,Wikipedia AIR table,Wikipedia
Andy Robert,2016-2017,,Wikipedia AIR table,Wikipedia
Julia Phillips,2016-2017,,Wikipedia AIR table,Wikipedia
Autumn Knight,2016-2017,,Wikipedia AIR table,Wikipedia
Allison Janae Hamilton,2018-2019,,Wikipedia AIR table,Wikipedia
Tschabalala Self,2018-2019,,Wikipedia AIR table,Wikipedia
Sable Elyse Smith,2018-2019,,Wikipedia AIR table,Wikipedia
Elliot Reed,2019-2020,,Wikipedia AIR table,Wikipedia
Texas Isaiah,2020-2021,,Wikipedia AIR table,Wikipedia
Jacolby Satterwhite,2020-2021,,Wikipedia AIR table,Wikipedia
Jeffrey Meris,2022-2023,(culminating: And ever an edge),Wikipedia AIR table + studiomuseum.org/press,Wikipedia
Devin N. Morris,2022-2023,(culminating: And ever an edge),Wikipedia AIR table + studiomuseum.org/press,Wikipedia
Charisse Perlina Weston,2022-2023,(culminating: And ever an edge),Wikipedia AIR table + studiomuseum.org/press,Wikipedia
Sonia Louise Davis,2023-2024,(culminating: Pass Carry Hold),Wikipedia AIR table + studiomuseum.org/press,Wikipedia
Malcolm Peacock,2023-2024,(culminating: Pass Carry Hold),Wikipedia AIR table + studiomuseum.org/press,Wikipedia
Zoe Pulley,2023-2024,(culminating: Pass Carry Hold),Wikipedia AIR table + studiomuseum.org/press,Wikipedia
Derriann Pharr,2026,(first cohort in J. Bruce Llewellyn AIR Center),studiomuseum.org/press 2026,studiomuseum.org/press
Simonette Quamina,2026,(first cohort in J. Bruce Llewellyn AIR Center),studiomuseum.org/press 2026,studiomuseum.org/press
Taylor Simmons,2026,(first cohort in J. Bruce Llewellyn AIR Center),studiomuseum.org/press 2026,studiomuseum.org/press
Titus Kaphar,(unspecified),(unspecified),"Listed among notable AIR alumni; specific year TBD",studiomuseum.org
