name,role,period,notes,source
Nicholas Bergson-Shilcock,Co-founder / CEO,2010--present,"originally co-founded Hackruiter Summer 2010 with Sridhar; pivoted to Hacker School July 2011; authored 2015 rename post + 2025 AI position post; self-taught programmer (Apple IIe BASIC); also runs unschooled.org",rcteam + Wikipedia + nick.is
Sonali Sridhar,Co-founder / Head of Recruiting,2010--present,"Interaction Design background; previously in advertising; runs the recruiting side that funds RC",rcteam + Wikipedia
David Albert,Co-founder Emeritus / Board of Directors,2011--present,"joined as co-founder when Hackruiter pivoted to Hacker School in July 2011; worked full-time until late March 2023; transitioned to Co-founder Emeritus + board member",rcteam
Rachel Petacat,Head of Retreat,?--present,"journalism + creative writing background; handles admissions and retreat operations; authored 2023 reopening post + 2026 application redesign post; moonlights as comic book writer",rcteam + RC blog
Emily Bernier,Senior Facilitator,?--present,"computer science + psychology background; former software engineer and manager; RC alum from Winter 2 2024 batch (alum-to-staff trajectory)",rcteam
Sydney Lefevre,Senior Facilitator,?--present,"talent acquisition / medical devices / English teaching in South Korea / anthropology background",rcteam
Chloe Tolderlund,Career Facilitator,?--present,"screenwriting / film + theater production / Big Law talent acquisition background",rcteam
Eva Khoury,Office & Operations Assistant,?--present,"digital arts + animation; game animation / teaching / live sound engineering / sailing",rcteam
Mai Schwartz,Staff (former or recent),~2023,"authored Feb 2023 self-directives post and Jan 2023 sabbaticals post; not currently on team page",RC blog 2023
Timnit Gebru,Notable alum,Summer 2012,"AI ethics researcher; post-RC career through Microsoft Research / Google / DAIR",Wikipedia
Michael Nielsen,Notable alum / former Resident,Summer 2012,"quantum physicist; deep-learning textbook author; later RC Resident (2015 announcement)",Wikipedia + rcteam
Greg Brockman,Notable alum,Summer 2015,"OpenAI co-founder; pre-OpenAI batch attendance",Wikipedia
Paul Biggar,Notable alum,Fall 2016,"CircleCI co-founder",Wikipedia
Raph Levien,Notable alum,Fall 2017,"Advogato founder; later prolific contributor to graphics + typography (Spiral)",Wikipedia
Andrew Kelley,Notable alum,?,"Zig programming language creator",Wikipedia
