name,role,period,notes,source
Zach Lieberman,Co-founder / Teacher / LLC Partner,2013--2020,"openFrameworks co-creator; lead teacher many sessions; publicly stepped down in 2020 governance shift",sfpc.io/faq + Wikipedia
Taeyoon Choi,Co-founder / Teacher / Administrator / LLC Partner,2013--present (visible),"Author of multiple finance reports; took on more admin after Casey Gollan left in May 2015",sfpc.io/faq + finance-and-administration
Amit Pitaru,Co-founder / Teacher / LLC Partner / Steering Committee,2013--present,"Pitaru.com / Sound Lab; on steering committee in 2026 FAQ snapshot",sfpc.io/faq
Jen Lowe,Co-founder / Teacher / LLC Partner,2013--?,"departed early; less visible in later finance reports",sfpc.io/faq
Casey Gollan,Administrator,2013-09 to 2015-05,"first administrator; established the open-finance practice; departed May 2015 to focus on own projects",finance/01/readme.md + 2015/readme.md
Lauren Gardner,Administrator / Partner,2015 to present (visible),"co-administrator with Choi from Summer 2015; author of 2019 finance report; Partner at SFPC by 2019",2019/readme.md + 2026 sfpc.io FAQ
Allison Burtch,Lead Organizer / Steering Committee,2014--2015 (visible),"co-organized Spring 2015 with Choi and Lieberman",2015/readme.md
Ida Benedetto,Steering Committee,2014--present,"on 2026 FAQ steering committee snapshot",sfpc.io/faq
Tega Brain,Steering Committee / Board,2014--present,"on 2026 FAQ steering committee + on 2026 sfpc.study about Board of Directors",sfpc.io/faq + sfpc.study/about
Todd Anderson,Organizer / Steering Committee / Co-Director,2015--present,"co-organized Summer 2015; on 2026 FAQ steering committee; current Co-Director per sfpc.study/about",sfpc.study/about
Neta Bomani,Co-Director,?--present,current Co-Director per sfpc.study/about,sfpc.study/about
Ahana Ganguly,Program Coordinator,?--present,current,sfpc.study/about
Sara Mart\'inez,Communications Manager,?--present,current,sfpc.study/about
Robby Kraft,Steering Committee,2026 visible,sfpc.io FAQ steering committee snapshot,sfpc.io/faq
Brian Solon,Steering Committee,2026 visible,sfpc.io FAQ steering committee snapshot,sfpc.io/faq
American Artist,Board of Directors,?--present,sfpc.study/about,sfpc.study/about
Salome Asega,Board of Directors,?--present,sfpc.study/about,sfpc.study/about
Taylor Levy,Board of Directors,?--present,sfpc.study/about,sfpc.study/about
Che-Wei Wang,Board of Directors,?--present,sfpc.study/about,sfpc.study/about
Galen Macdonald,Board of Directors / Steward,?--present,"named both as Board of Directors (sfpc.study/about) and as Steward in Wikipedia governance description",sfpc.study/about + Wikipedia
Celine Wong Katzman,Board of Directors,?--present,sfpc.study/about,sfpc.study/about
Zainab Aliyu,Steward,2020--?,"per Wikipedia 2020 governance restructure",Wikipedia
Melanie Hoff,Steward,2020--?,"per Wikipedia 2020 governance restructure",Wikipedia
Tiri Kananuruk,Past leader / advisor,?,sfpc.study/about,sfpc.study/about
Sebastian Morales Prado,Past leader / advisor,?,sfpc.study/about,sfpc.study/about
Nabil Hassein,Past leader / advisor,?,sfpc.study/about,sfpc.study/about
Emma Rae Bruml,Past leader / advisor,?,sfpc.study/about,sfpc.study/about
Luke Demarest,Past leader / advisor,?,sfpc.study/about,sfpc.study/about
Max Bittker,Past leader / advisor,?,sfpc.study/about,sfpc.study/about
Allison Parrish,Recurring Teacher,2015--present,"taught Spring 2015 + Summer 2015; canonical creative-coding/poetry teacher",2015/readme.md
Surya Mattu,Teacher,Spring 2015,,2015/readme.md
Ingrid Burrington,Teacher,Spring 2015,,2015/readme.md
Jonathan Dahan,Teacher,Spring 2015,donated payment back to SFPC,2015/readme.md
Nick Montfort,Teacher,Summer 2015,,2015/readme.md
Sara Groff Palermo,Teacher,Summer 2015,,2015/readme.md
Cori Kresge,Teacher (Code Movement),Spring 2019 + Fall 2019,,2019/readme.md
