name,role,start_year,end_year,notes,source
Eleanor Holmes Norton,Founder / Founding Trustee,1968,,Civil-rights lawyer; later DC Delegate to Congress,studiomuseum.org/history
Carter Burden,Founder / Founding Trustee,1968,,NYC Councilman; bibliophile,studiomuseum.org/history
Charles E. Inniss,Founder / Founding Director,1968,1969,Insurance executive,studiomuseum.org/history
Campbell Wylly,Founder / Founding Trustee,1968,,Banker,studiomuseum.org/history
Betty Blayton-Taylor,Founder / Founding Trustee,1968,,Artist; first African-American woman trustee Art Students League,studiomuseum.org/history
Frank Donnelly,Founder / Founding Trustee,1968,,,studiomuseum.org/history
Mahler B. Ryder,Founding Secretary,1968,,Painter,studiomuseum.org/history
William T. Williams,AIR Program founding artist,1968,,Proposed the Studio Program / AIR in 1968; launched 1969,studiomuseum.org/residency
Tom Lloyd,First Artist-in-Residence,1969,1970,Subject of inaugural exhibition Electronic Refractions II (Sept 1968),studiomuseum.org/history
Edward S. Spriggs,Director,1969,1975,Poet / painter / filmmaker; Black Arts Movement,studiomuseum.org/history
Courtney Callender,Director,1975,1977,,studiomuseum.org/history
Mary Schmidt Campbell,Director,1977,2000,Led move to 144 W 125th; later Vartan Gregorian Professor at NYU and dean Tisch,studiomuseum.org/history
Kinshasha Holman Conwill,Deputy / Acting Director,1988,1999,Later founding Deputy Director of NMAAHC at Smithsonian,multiple
Lowery Stokes Sims,Director,2000,2005,Ex-Met curator; later director Museum of Arts and Design,studiomuseum.org/history
Thelma Golden,Director and Chief Curator,2005,,Now styled Ford Foundation Director and Chief Curator (Oct 2024),studiomuseum.org/history
J. Max Bond Jr.,Architect (1981 renovation),1981,1982,Architect of 144 W 125th conversion from former bank,multiple
David Adjaye,Architect (new building),2015,2023,Lead designer until July 2023 separation,FT 2023
Pascale Sablan,NYC Office CEO Adjaye Associates,2023,2025,Project lead 2023-2025; shepherded new building to completion,Designboom 2025
Kathryn C. Chenault,Board Chair,,,Current chair (2026),studiomuseum.org/board
Raymond J. McGuire,Chair Emeritus,,,Former chair; investment banker,studiomuseum.org/board
Anita Blanchard,Vice-Chair,,,,studiomuseum.org/board
Damien R. Dwin,Vice-Chair,,,,studiomuseum.org/board
Carol Sutton Lewis,Vice-Chair,,,,studiomuseum.org/board
Rodney M. Miller Sr.,Treasurer,,,,studiomuseum.org/board
Jacqueline L. Bradley,Secretary,,,,studiomuseum.org/board
Henry Louis Gates Jr.,Trustee,,,Harvard professor; cultural historian,studiomuseum.org/board
Holly Peterson,Trustee,,,Funded Tom Lloyd inaugural exhibition through Holly Peterson Foundation,studiomuseum.org/board + 2025 press
Bernard I. Lumpkin,Trustee,,,Collector; author Young Gifted and Black,studiomuseum.org/board
Gordon J. Davis Esq.,Trustee,,,,studiomuseum.org/board
Reginald Van Lee,Legacy Trustee,,,,studiomuseum.org/board
George L. Knox,Legacy Trustee,,,,studiomuseum.org/board
Andrew Marks,Trustee,,,,studiomuseum.org/board
Suzanne McFayden,Trustee,,,,studiomuseum.org/board
Michael L. Lomax,Trustee,,,President United Negro College Fund,studiomuseum.org/board
Joan S. Davidson,Trustee,,,,studiomuseum.org/board
Sandra Grymes,Trustee,,,,studiomuseum.org/board
Natasha A. Holiday,Trustee,,,,studiomuseum.org/board
Arthur J. Humphrey Jr.,Trustee,,,,studiomuseum.org/board
Russ Hutchinson,Trustee,,,,studiomuseum.org/board
C.C. Melvin Ike,Trustee,,,,studiomuseum.org/board
Nicholas Antoine,Trustee,,,,studiomuseum.org/board
Laura Day Baker,Trustee,,,,studiomuseum.org/board
Peter A. Boyce II,Trustee,,,,studiomuseum.org/board
Amelia Ogunlesi,Trustee,,,,studiomuseum.org/board
Victoria Rogers,Trustee,,,,studiomuseum.org/board
Troy Taylor,Trustee,,,,studiomuseum.org/board
Ann G. Tenenbaum,Trustee,,,,studiomuseum.org/board
Lise Wilks,Trustee,,,,studiomuseum.org/board
Danielle Cooper Williams,Trustee,,,,studiomuseum.org/board
Nancy L. Lane,Trustee Emerita (in memoriam),,,,studiomuseum.org/board
Zohran K. Mamdani,Ex-Officio Trustee,2026,,Mayor of NYC (ex officio),studiomuseum.org/board
Diya Vij,Ex-Officio Trustee,,,NYC Cultural Affairs Commissioner (ex officio),studiomuseum.org/board
Joyce Alexander Wein,Late Trustee (memorialized via Wein Prize),1928,2005,Trustee through 2005; namesake of $50K annual artist prize est. 2006,studiomuseum.org/wein-prize
George Wein,Donor (Wein Prize),,,Jazz impresario; established prize in 2006 to honor late wife,studiomuseum.org/wein-prize
J. Bruce Llewellyn,Donor (named AIR Center),,,Namesake of J. Bruce Llewellyn Artist in Residence Center (2025 building),studiomuseum.org/press
