name,public_role,scope,source,discrepancy
Mattie Barber-Bockelman,Producing Director,New York / organization-wide programming,CultureHub profile,
Billy Clark,Artistic Director,Organization-wide,CultureHub profile; FY2025 Form 990,
DeAndra Anthony,Technical Director,New York,CultureHub profile,
Sangmin Chae,Emerging Media Director,New York,CultureHub profile,
Blair Johnson,Development Director,New York,CultureHub NYC page,Individual profile says Development Associate
Randee Smith,Finance Director,New York,CultureHub NYC page,
Tee Topor,Design & Communications Associate,New York,CultureHub profile,
Raquel (Rock) Bell,Technician,Los Angeles,CultureHub LA page,
Jared Marshall,Technician,Los Angeles,CultureHub LA page,
Jae Soh,Co-Program Director,Korea,CultureHub Korea page,
Jeonghyeon Joo,Co-Program Director,Korea,CultureHub Korea page,
Zach Dorn,Co-Program Director,Korea,CultureHub Korea page,
Andrea Paciotto,Director,Italy,CultureHub Italy page,
Ruly Darmawan,Director,Indonesia,CultureHub Indonesia page,
Catherine Filloux,President,Board,CultureHub About; FY2025 Form 990,
Jon Lefkowitz,Treasurer,Board,CultureHub About,FY2025 filing transcription appears as Jonathan Leifkowitz
Frank Carucci,Secretary,Board,CultureHub About; FY2025 Form 990,
Billy Clark,Director,Board,CultureHub About; FY2025 Form 990,
Claire Conceison,Director,Board,CultureHub About; FY2025 Form 990,
Jamil Ellis,Director,Board,CultureHub About; FY2025 Form 990,
Alexa Jordan,Director,Board,CultureHub About; FY2025 Form 990,
Mia Lee,Director,Board,CultureHub About; FY2025 Form 990,
Ralph Samuelson,Director,Board,CultureHub About; FY2025 Form 990,
Paul Slee Rodriguez,Director,Board,CultureHub About; FY2025 Form 990,
Alex Suh,Director,Board,CultureHub About; FY2025 Form 990,
