year,event,category,source
1971-06-15,"Steina and Woody Vasulka (with Andy Mannik) found The Kitchen in the disused kitchen of the Mercer Arts Center, 240 Mercer Street, Greenwich Village",org,Wikipedia / The Kitchen About
1971,"Operates as artist collective under fiscal sponsorship of Electronic Arts Intermix; co-directors Steina, Woody, Rhys Chatham, Shridhar Bapat, Dimitri Devyatkin, Tom Bowes",org,The Kitchen About
1973-08-03,Mercer Arts Center building (former Broadway Central Hotel) collapses,location,Wikipedia
1973,Incorporated as 501(c)(3) under name Haleakala Inc (DBA The Kitchen) — meaning house of the sun,org,The Kitchen Field Notes
1973,"Robert Stearns becomes first Executive Director; founding board: Paula Cooper, Caroline Stone, Philip Glass; org reopens at 484 Broome Street SoHo (lease ~$10,000/year)",leadership,The Kitchen Field Notes
1974,Arthur Russell becomes Music Director,leadership,Wikipedia
1975-05,IRS tax-exempt status effective May 1975 (per ProPublica record),org,ProPublica
1977,Robert Longo serves as Acting Video Curator (fall 1977 - spring 1978),leadership,The Kitchen Archives
1977,Rhys Chatham returns as Music Director (through 1980),leadership,Wikipedia
1978,"Mary MacArthur becomes Executive Director; launches The Kitchen Presents (broadcast video for TV) inviting Carlota Schoolman to produce",leadership,The Kitchen Archives
1978,Dancing In The Kitchen series launched,program,Wikipedia
1978,Filmworks program series launched (Leonardo Katz),program,The Kitchen Archives
1979,Contemporary Music Series launched; New Music/New York festival founded,program,Wikipedia
1980,New Music America festival established (renamed and expanded from 1979 New Music/New York),program,Wikipedia
1980,George E Lewis (AACM) becomes Music Director,leadership,Wikipedia
1981,10th Anniversary; Aluminum Nights celebration,program,Wikipedia
1983,Beastie Boys play one of their early shows at The Kitchen,program,Wikipedia
1985,Move from SoHo to 512 West 19th Street Chelsea (former 1920s ice house),location,Wikipedia
1986,Inaugural Chelsea programming begins; New Ice Nights,program,Wikipedia
1986,Arto Lindsay (DNA / no-wave) is first Music Director after Chelsea move,leadership,Wikipedia
1987,The Kitchen purchases its W 19th Street building from Dia Art Foundation,location,The Kitchen About
1990,Dance and Process series launched (initially under name Working in The Kitchen) — longest-running named program,program,Movement Research / The Kitchen Archives
1991,Lauren Dyer Amazeen becomes Executive Director,leadership,Vanguard Visions / LinkedIn
1991,20th Anniversary celebration: The Kitchen Turns Twenty,program,Wikipedia
1995,Dance and Process series formally renamed,program,Wikipedia
1998,Elise Bernhardt becomes Executive Director,leadership,The Kitchen Archives
1998,TV Dinner series launched (vegetarian buffet + time-based art evening) — runs through 2004,program,The Kitchen Archives
2000,Kitchen House Blend music series begins (runs through 2005),program,Wikipedia
2004,Debra Singer becomes Executive Director and Chief Curator (first to combine titles),leadership,artforum / The Kitchen Archives
2010,Tim Griffin announced as next ED and Chief Curator,leadership,artforum
2011,"Tim Griffin formally begins as ED & Chief Curator (40th anniversary year); 40th-anniversary programs include Aluminum Music (Apr 15-16) and Pioneers of the Downtown Sound (Sept 9-10)",leadership,Wikipedia
2012-10-29,"Hurricane Sandy hits Chelsea; The Kitchen suffers approximately $450,000 in damages; recovery support arrives from Time Warner, Art Dealers Association, and Andy Warhol Foundation",org,Wikipedia
2014,"Getty Research Institute acquires The Kitchen's archive — 5,410 videotapes, 600+ audiotapes, photographs, 246 artist-designed posters covering 1971-1999",program,Getty Research Collections
2014,FY2014 990 shows program-service revenue spike to $714K (likely the Getty archive accession),funding,IRS 990
2020-09,Tim Griffin announces departure from The Kitchen,leadership,The Art Newspaper
2021-06,Legacy Russell announced as next Executive Director and Chief Curator,leadership,Culture Type / artnews
2021-09,"Legacy Russell formally begins as ED & Chief Curator; 50th anniversary year; first Black ED in The Kitchen's history",leadership,Culture Type / Wikipedia
2021-09,The Next 50 capital campaign announced — public goal $40M / $28M-five-year initial framing — for renovation of W 19th Street building (architect: Rice+Lipka),org,Architects Newspaper / thenext50.thekitchen.org
2022,"Building closes for renovation; Without Walls programming period begins at Westbeth Artists Housing (163B Bank Street, West Village) and partner venues citywide",org,The Kitchen About
2022,FY2022 990 shows revenue at $4.06M; net assets jump to $11.7M (capital campaign on the books),funding,IRS 990
2023-06-08,Mellon Foundation awards $2M / 36 mo for infrastructure and staffing under Legacy Russell — described as the largest single gift in The Kitchen's history,funding,mellon.org
2023,FY2023 990 shows revenue at $6.74M; net assets at $15.96M (capital campaign continuing),funding,IRS 990
2024,"FY2024 990 shows revenue at $4.32M; net assets $16.64M; second full Without Walls year",funding,IRS 990
2024-fall,"Andy Warhol Foundation Multi-year Program Support of $80,000 awarded",funding,warholfoundation.org
2025-2026,"Building renovation continues; reopening date not publicly fixed as of this dossier (May 2026); Without Walls programming continues at Westbeth and partners",org,The Kitchen About
