date,event,venue,scale,why_it_mattered,source
2003-12-06 to 2004-01-24,Tom Jennings -- Story Teller (inaugural show),1200 D N Alvarado,(installation),"the inaugural show by FidoNet pioneer Tom Jennings set the org's tone: technical-history-meets-storytelling at the storefront","Wikipedia + machineproject.com press archive"
2008-11-15,A Machine Project Field Guide to LACMA,LACMA campus,10 hours / 60+ projects / 35 artists,"the signature one-day institutional commission; documented in the 2010 Machine Project Press book; established the storefront-takes-over-museum format that the Hammer residency would extend",machineproject.com event page + Field Guide book
2009-2010,Hammer Public Engagement A.I.R. residency,Hammer Museum (UCLA),~75-80 programs,"transformed the org from an Echo Park storefront into a national reference for museum public engagement; produced the 2012 A.I.R. Report co-authored with Allison Agsten that became a working document for other museums",hammer.ucla.edu + Hammer A.I.R. Report
2010-summer,Houseplant Vacation,Hammer Museum,(coatroom-scale),"the workshop-style program that became the org's most-cited Hammer piece; visitors checked their houseplants in for a museum vacation",Hammer A.I.R. Report
2010-summer,The Giant Hand,Hammer Museum,(corridor-scale),"giant animatronic hand that pointed visitors around the museum; central exhibit of the A.I.R.","Hammer A.I.R. Report"
2010-summer,Microconcerts in the coatroom,Hammer Museum,(intimate),"a series of tiny concerts in the museum's converted coatroom became one of the residency's signature inventions",Hammer A.I.R. Report + hammer.ucla.edu
2010-overnight,Overnight Dream-In,Hammer Museum,(group sleepover),"all-night dream-in event in the museum",Hammer A.I.R. Report
2014,Gamble House intervention,Gamble House (Pasadena),(multi-piece site-specific),"contemporary artworks inside a Greene & Greene Craftsman house including a secret basement restaurant by Bob Dornberger and a vortex sculpture / puppet by Patrick Ballard",Wikipedia + LA Times closure piece
2014,Purple Electric Plat (PEP!),1200 D N Alvarado,(performance),"performance featuring a dancing salad and oversized tongue; the 'giant tongue' of the LA Times closure-piece headline",Artforum closure
2015,Return to Foreverhouse (Patrick Ballard),1200 D N Alvarado,(2-month residency),"PAA-grant-funded sculptural environment with a 2-month programming series of LA artists making new work inside the installation",Pasadena Art Alliance
2015-09-19 to 2016-01-03,Machine Project -- The Platinum Collection (Live by Special Request),Tang Teaching Museum,(retrospective),"multi-month re-staging of the org's past projects at Skidmore; produced the 2016 318-page Tang/DelMonico Prestel hardcover",tang.skidmore.edu
2017-09 to 2017-11,Sorry Atlantis: Eden's Achin' Organ Seeks Revenge (Asher Hartman),1200 D N Alvarado,(multi-month play),"one of the final long-form storefront productions before closure",Hyperallergic
2018-01-13,Print Sale and Wrap Party (closure event),1200 D N Alvarado,2--9pm / single day,"the org's only formal closure event; silkscreen posters acquired by an unnamed institutional archive",Hyperallergic + Artforum
