program,launched,status,description,key_funders,source
NEW INC core membership,2014-09,Active,"Yearlong shared workspace + professional-development program (Sept-June). Cohort of ~100 creative practitioners per year (~74 new in Year 12 + returners). The world's first museum-led cultural incubator.",Mellon (lead) + various track sponsors,multiple
DEMO Day → DEMO Festival,2015-07-14,Active (now multi-day),"Annual public showcase of cohort work. Originally a single Demo Day at the New Museum (first held 7/14/2015); rebranded to multi-day DEMO Festival under Asega; DEMO2026 scheduled June 3-5",various — Meta Open Arts has been a past sponsor; current sponsor list TBD,demofestival.org
Museum Tech Track,2017-04,Concluded ~2019,"Knight-funded track for museum professionals using technology to engage audiences; $250K Knight grant subsidized 5 teams + Museum Tech Bootcamp. Phased out / merged when track structure was reorganized under Asega",Knight Foundation,knightfoundation.org
Art & Code track,~2019,Active (Year 12: 2025-26),"Track for artists/designers/researchers/technologists redefining cultural and digital landscapes through internet-based practice. Year 12 in formal partnership with Rhizome.","Patrick J. McGovern Foundation; partnership with Rhizome",rhizome.org / newmuseum.org
Creative Science track,~Year 11,Active (Year 12),"""Employing modes of scientific inquiry to advance creativity and storytelling""",Simons Foundation,newinc.org/creativescience
Extended Realities track,~Year 11,Active (Year 12),"""Expanding the artistic potential for technology to blur the physical and digital worlds""",EY (Metaverse Lab) + Onassis ONX,newmuseum.org press release
Social Architecture track,~Year 11,Active (Year 12),"""Reconstructing public and social space through design and architecture""",Jonathan D. & Mark C. Lewis Foundation,newmuseum.org press release
Cooperative Studies track,~Year 11,Active (Year 12),"""Designing care-based models for collective futures""",funder TBD,newmuseum.org press release
NEW INC artist residency w/Nokia Bell Labs,~2018,(Active TBD),"Artist residency program; Kaganskiy returned post-directorship as Curatorial Advisor",Nokia Bell Labs,Wikipedia
"Earlier track names (2014-~2018): Art-Design-Technology (ADT), Strategic Program for Open Knowledge (SPOK), Creative Science",2014~2018,Restructured,"The user-supplied original three tracks. Public NEW INC site no longer surfaces these labels; the Asega-era restructure consolidated into the current Art&Code / Creative Science / Extended Realities / Social Architecture / Cooperative Studies five-track structure. The transition appears to have happened gradually across Years 5-8.",inferred from user prompt + current vs archival NEW INC pages — direct primary-source confirmation TBD
