recipient,year,date,amount_usd,program_area,project,term_months,source_url,notes
Rhizome Communications Inc,2015,2015-12-10,600000,Public Knowledge,Webrecorder development (preservation of web-based resources),24,https://www.mellon.org/grant-details/web-archiving-tools-11233,
Rhizome Communications Inc,2017,2017-12-07,1000000,Public Knowledge,Webrecorder Phase Two (further software development),24,https://mellon.org/grants/grants-database/grants/rhizome-communications-inc/1708-04727/,
Rhizome Communications Inc,2019,2019-12-09,146000,Public Knowledge,Webrecorder sustainability planning,6,https://www.mellon.org/grant-details/rhizome-communications-inc.-20446351,bridge before Conifer spin-out
Rhizome Communications Inc,2021,2021-09-13,1000000,Public Knowledge,Change Capital five-year resilience and operating reserves,60,https://mellon.org/grants/grants-database/grants/rhizome-communications-inc/2103-10317/,Nonprofit Finance Fund cohort
Rhizome Communications Inc,2024,2024-06-24,750000,Arts and Culture,ArtBase overhaul,36,https://www.mellon.org/grant-details/rhizome-communications-inc.-20457552,
Rhizome Communications Inc,2024,2024-12,195000,Public Knowledge,Change-capital business model continuation,,causeiq.com,additional disbursement on 2021 Change Capital line
Rhizome Communications Inc,2025,2025,320000,,project unspecified,,causeiq.com,
Internet Archive,2020,2020-03-05,200000,Public Knowledge,ML and other techniques to identify and preserve online scholarly journals,24,https://www.mellon.org/grant-details/internet-archive-20446662,
Internet Archive,2020,2020-09-18,1130000,Public Knowledge,Community Webs national network of public library web archives,24,https://www.mellon.org/grant-details/internet-archive-20447040,150-200 participating libraries target
ITHAKA Harbors Inc (JSTOR),2018,2018,600000,Public Knowledge,Provide JSTOR access to incarcerated people,,https://www.about.jstor.org/news/,
ITHAKA Harbors Inc (JSTOR),2018,2018-09,700000,Higher Learning,JSTOR Plant Humanities (with Harvard/Dumbarton Oaks),,https://www.mellon.org/grant-details/jstor-plant-humanities-20445075,
ITHAKA Harbors Inc (JSTOR),2019,2019,,,JSTOR offline index improvements,,about.jstor.org,exact amount TBD
ITHAKA Harbors Inc (JSTOR),2021,2021-09,1500000,Higher Learning,JSTOR access for all Higher Education in Prison programs,,https://www.ithaka.org/news/mellon-foundation-awards-ithaka-1-5-million-to-make-jstor-accessible-to-incarcerated-college-students/,
HathiTrust,2023,2023-02,1000000,Public Knowledge,Strengthen preservation and access mission; portfolio management staffing,60,https://www.hathitrust.org/hathitrust-receives-1-million-mellon-grant-to-enhance-core-operations,
The Eyebeam Atelier Inc,2013,2013,,,unspecified,,mellon database,referenced in 2021 grant page
The Eyebeam Atelier Inc,2020,2020,150000,Presidential Initiatives,Rapid Response Fund for a Better Digital Future,,https://www.mellon.org/grant-details/rapid-response-fund-for-a-better-digital-future-20447022,approximate amount
The Eyebeam Atelier Inc,2021,2021-06-11,600000,Presidential Initiatives,General operating support,36,https://www.mellon.org/grant-details/the-eyebeam-atelier-inc.-20449592,
The Eyebeam Atelier Inc,2023,2023,,,unspecified,,mellon database,referenced in 2021 grant page
The Eyebeam Atelier Inc,2024,2024-03-22,,,unspecified,,https://www.mellon.org/grant-details/the-eyebeam-atelier-inc.-20456337,
Pioneer Works,,,,,(no Mellon grant located in 2010-2025 window),,,not found in Mellon database; primary funders appear elsewhere
The Studio Museum in Harlem,2018,2018-09,5000000,Arts and Culture,Capital Campaign + capacity building (new building construction),,https://www.mellon.org/grant-details/capital-campaign-20449604,
The Studio Museum in Harlem,2020,2020-07-10,,Arts and Culture,Studio Museum Sustainability Plan / Art Museum Futures Fund,,https://www.mellon.org/grant-details/the-studio-museum-in-harlem-20447455,exact amount TBD
The Studio Museum in Harlem,,,,Arts and Culture,Curatorial Fund (recurring),,https://www.mellon.org/grant-details/curatorial-fund-8888,
The Studio Museum in Harlem,,,,Arts and Culture,Curatorial Fund Phase II,,https://www.mellon.org/grant-details/curatorial-fund-phase-ii-10633,
The Studio Museum in Harlem,,,,Arts and Culture,Curatorial Fund Phase III,,https://www.mellon.org/grant-details/curatorial-fund-phase-iii-20444169,
The Studio Museum in Harlem,,,,Arts and Culture,Critical Collections,,https://www.mellon.org/grant-details/critical-collections-20447639,
Whitney Museum of American Art,2014,2014-12,1500000,,Exhibitions/Publications,,https://mellon.org/grants/grants-database/grants/whitney-museum-of-american-art/28100087/,
Whitney Museum of American Art,2018,2018-03,350000,,unspecified,,,
Whitney Museum of American Art,2022,2022-05,500000,Arts and Culture,no existe un mundo poshuracán: Puerto Rican Art in the Wake of Hurricane Maria,,mellon database,
National Gallery of Art,2016,2016-03,30000000,Arts and Culture,75th anniversary endowment challenge grant,,https://www.nga.gov/press/2021/mellon-challenge-grant.html,matched with $50M for $80M endowment lift
Smithsonian Institution,2022,2022-03-11,250000,Arts and Culture,1898: The American Imperium,24,https://www.mellon.org/grant-details/smithsonian-institution-20451235,
Smithsonian Institution,2023,2023-03-29,,Arts and Culture,International cultural heritage emergency preparedness/response,,https://www.mellon.org/grant-details/smithsonian-institution-20453586,exact amount TBD
Smithsonian Institution (Office of Human Dignity),2024,2024,10000000,Presidential Initiatives,Office of Human Dignity,,influencewatch.org,referenced as recent major grant
MIT Press,,,,,(no per-grant Mellon URL located in this pull),,,known scholarly-communications context (Direct to Open) but specific Mellon grant TBD
Wikimedia Foundation,,,,,,(no per-grant Mellon URL located in this pull),,Trustee Maryana Iskander is Wikimedia CEO; if direct grants exist they may be flagged as conflict in 990-PF Schedule
SFPC (School for Poetic Computation),,,,,(no Mellon grant located),,,SFPC is LLC; tax-deductible giving via unnamed fiscal sponsor
The Corporation for Digital Scholarship (Zotero),,,,,(no Mellon grant located in this pull),,,not found in spotlight pull; would be Public Knowledge if it exists
