date,event,source
2007-10-15,ProPublica announced as a nonpartisan nonprofit newsroom led by Paul Steiger,ProPublica launch announcement
2008-01,Newsroom launched with Sandler Foundation multi-year backing,ProPublica launch announcement
2008-02,IRS tax-exempt ruling effective,ProPublica Nonprofit Explorer
2008,ProPublica began publishing,ProPublica About
2010,First online news organization to win a Pulitzer; Dollars for Docs launched,Pulitzer Prize Board; ProPublica
2011,Second Pulitzer and public data/news-app practice expands,ProPublica awards and Nerd Blog
2013,Richard Tofel becomes president; Stephen Engelberg editor-in-chief,ProPublica leadership history
2016,Machine Bias / COMPAS investigation and public methodological dispute,ProPublica
2017,Paul Sagan succeeds Herbert Sandler as board chair; Local Reporting Network and Illinois hub launch,ProPublica leadership and local initiatives
2019,Founding chair Herbert Sandler dies; founding donor share had fallen below 10% by 2018,ProPublica remembrance
2021,Robin Sparkman becomes president; Secret IRS Files published,ProPublica reports
2024,Friends of the Court wins Public Service Pulitzer; FY revenue reaches $64.3m and net assets $98.1m,ProPublica awards; IRS Form 990
2025,Life of the Mother wins Public Service Pulitzer; 74 current partners and over 80k donors reported,ProPublica 2025 Annual Report
2026,On the Hook with The Connecticut Mirror wins Local Reporting Pulitzer,Pulitzer Prize Board / AP
