supporter,relationship_or_note,source
Sandler Foundation,Founding funder; president Steve Daetz sits on board,ProPublica founding record; supporters page
Abrams Foundation,Listed larger donor,ProPublica supporters page
Arnold Ventures,Listed larger donor,ProPublica supporters page
Carnegie Corporation of New York,Listed larger donor,ProPublica 2025 Annual Report
Crankstart Foundation,Listed leading supporter,ProPublica 2025 Annual Report
Emerson Collective,Listed larger donor,ProPublica supporters page
Heising-Simons Foundation,Listed larger donor,ProPublica supporters page
William and Flora Hewlett Foundation,Listed larger donor,ProPublica supporters page
Robert Wood Johnson Foundation,Listed larger donor,ProPublica supporters page
John S. and James L. Knight Foundation,Listed larger donor; documented news-app grant,ProPublica supporters page; 2012 grant announcement
John D. and Catherine T. MacArthur Foundation,Listed larger donor,ProPublica supporters page
Goldhirsh Foundation,Listed larger donor; Claire Hoffman sits on board,ProPublica supporters page; leadership page
