date,event,source
2002,Echo Park Film Center founded by Paolo Davanzo and Lisa Marr at 1200 N Alvarado (storefront opens; 55-seat microcinema),EPFC Collective + The Eastsider LA
2003,Machine Project founded by Mark Allen at 1200 N Alvarado (separate unit in same building),Wikipedia (Machine Project) + Hyperallergic
2012,Matthew James-Wilson begins publishing FORGE art quarterly (continues 7 years until 2018),Hyperallergic + ICON11 bio
2018-01-13,Machine Project farewell event; storefront closes after 15 years at 1200 N Alvarado,Hyperallergic
2021-Fall,"James-Wilson + Molly Soda begin collecting materials for an internet-and-contemporary-art book; project stalls; donated books become the seed of a library",SJSU iSchool profile + Flipboard podcast
2021,Heavy Manners Library founded; opens at 1200 N Alvarado St Unit D (former Machine Project storefront),heavymannerslibrary.com/about + The Eastsider LA + multiple
2022-01,Echo Park Film Center storefront closes; lease expires end of January 2022; EPFC re-organizes as the itinerant EPFC Collective,The Eastsider LA
2022-02-18,Heavy Manners Journal launches with inaugural Matthew James-Wilson editorial,heavymannerslibrary.com/journal
2022-05-05,first dated gallery exhibit -- 'halfway between noon and midnight: An Exhibit by Kendra Yee' (through Jun 12),heavymannerslibrary.com/events
2022-06-23,'Major Arcana Tarot: An Exhibit by Jesse Moynihan' (through Jul 17),heavymannerslibrary.com/events
2022-07-28,'Emerging' exhibit (through Aug 21),heavymannerslibrary.com/events
2022-10-20,'Tiny Splendor 10th Anniversary Exhibit' opens,heavymannerslibrary.com/events
2023-03-16,Patrick Kyle's Recommended Reading published in Journal,heavymannerslibrary.com/journal
2023-Spring,Heavy Manners Comics Fair Spring 2023 (recurring fair),heavymannerslibrary.com/events
2023-06,Eastsider LA profile published 'Heavy Manners Library amplifies Echo Park's creative community',The Eastsider LA + Jessica Doherty LinkedIn
2024,Hyperallergic 'Seven Indie Art Spaces to Check Out in Los Angeles' includes HML,Hyperallergic
2024-09-16,Risograph Printing 101 workshop session (recurring; documented Eventbrite listing),Eventbrite
2024,LA Municipal Art Gallery 'Friday Art Nights' program features HML zine vendors at Barnsdall Park (Sep 5/12/19/26 5--8pm),lamag.org/heavy-manners-library
2024 or 2025,'Heavy Manners Spring Fundraiser' (first ever) -- two-week opening event with art prints classes gatherings,heavymannerslibrary.com/events
2025-Fall,Heavy Manners Comics Fair Fall 2025,heavymannerslibrary.com/events
2025-05-10,dublab Channels live broadcast from HML (Jordan Collins / Lewis Thompson / Nia Michelle hosts),dublab archive
2025-08-30,Risograph Printing 101 workshop session,Eventbrite
2026-04-11,Heavy Manners Zine Fair 2026 (Apr 11--12; 12--6pm PST; free; application deadline Mar 2),heavymannerslibrary.com/events + Eventbrite
