date,event,source
2003-12-06,"Machine Project opens at 1200 D N Alvarado, Echo Park; inaugural show is Tom Jennings -- Story Teller (runs through Jan 24 2004)","Wikipedia + machineproject.com press archive"
2003,"Mark Allen, Pomona College Associate Professor of Art, founds the storefront",CalArts 2010 Q&A
2005,"Machine Project incorporated as an educational nonprofit",CalArts 2010 Q&A
2006-05,"IRS 501(c)(3) determination granted (EIN 75-3193159)",ProPublica
2008-11-15,"A Machine Project Field Guide to LACMA: 10-hour, 60+ project takeover with 35 artists; cofunded by LACMA Public Programs and Ralph M. Parsons Endowment",machineproject.com + Wikipedia
2009-06,"James Irvine Foundation awards $1M Arts Innovation Fund grant to Hammer Museum to create Public Engagement A.I.R.; Machine Project named first A.I.R.; research phase begins",hammer.ucla.edu + Daily Bruin
2009-11,"Official Hammer A.I.R. residency begins (through Dec 2010); ~75--80 onsite programs produced","Hammer A.I.R. Report 2012"
2010,"Field Guide to LACMA book published by Machine Project Press (ISBN 978-0-9753140-4-3)",Field Guide book
2010-12,"Hammer A.I.R. residency concludes",Hammer A.I.R. Report
2011-03-30,"Staff page snapshot lists Mark Allen as ED and Michele Yu as Operations Manager","machineproject.com/archival/staff/"
2012-02-20,"Machine Project Hammer Museum Public Engagement Artist in Residence Report published, co-authored with Allison Agsten","Hammer A.I.R. Report 2012"
2014,"Gamble House intervention in Pasadena: secret basement restaurant by Bob Dornberger and vortex/puppet sculpture by Patrick Ballard",Wikipedia
2015-03-10,"Pasadena Art Alliance awards grant for Patrick Ballard, Return to Foreverhouse (2-month programming series at storefront)",pasadenaartalliance.org
2015-09-19,"Machine Project -- The Platinum Collection (Live by Special Request) opens at Tang Teaching Museum, Skidmore College",tang.skidmore.edu
2016-01-03,"Tang Platinum Collection exhibition closes",tang.skidmore.edu
2016,"Machine Project: The Platinum Collection book published by Tang/DelMonico-Prestel (ISBN 978-3-7913-5619-8); 318 pages, edited by Mark Allen and Rachel Seligman, designed by Kimberly Varella",Platinum Collection book
2017,"Platinum Collection EXTRAVAGANZA book launch at the storefront",machineproject.com 2017 events
2017-09 to 2017-11,"Sorry, Atlantis: Eden's Achin' Organ Seeks Revenge (Asher Hartman play, multi-month run at storefront)",Hyperallergic
2017-12-05,"Tongue Tied (final-stretch programming)","machineproject.com news 2017"
2017-late,"Closure announcement; final farewell event scheduled for Jan 13 2018",Hyperallergic + Artforum
2018-01-13,"Final farewell event 2--9pm: print sale of limited-edition silkscreen posters (2--6pm) + wrap party with secret performances (6--9pm)",Hyperallergic
2018,"Form 990 closure-year filing: $115,048 revenue, $211,467 expenses, -$96,419 net; net assets drawn down to $34,666",ProPublica EIN 75-3193159
2018-onward,"website remains live as archive; no new programming announced; no Form 990 filings visible in ProPublica's standardized extract",machineproject.com + ProPublica
2021,"Heavy Manners Library founded by Matthew James-Wilson at the same address (1200 N Alvarado St Unit D); about page names Machine Project as predecessor",heavymannerslibrary.com/about
2026 (current),"Charity Navigator records Machine Project on California's AB 488 delinquent registrations list; donations through CN platform disabled. Machine Project's website carries the closure language: 'After fifteen years of experimentation, delirium, and joy, the project of Machine Project (2003--2018) is now concluded.'",charitynavigator.org/ein/753193159 + machineproject.com
