program_or_system,start,form,function,source
National investigative newsroom,2008,Staff newsroom,Long-horizon investigations of institutional wrongdoing,ProPublica About
Publishing partnerships,2008,Co-reporting and co-publication,Extend reporting capacity reach and local expertise,ProPublica 2025 Annual Report
Free republication,2008,Creative Commons licensing,Allow eligible stories to be republished with credit links and tracking tag,ProPublica Steal Our Stories
Dollars for Docs,2010,Public database and reporting series,Expose pharmaceutical payments to clinicians,ProPublica Dollars for Docs editor's note
News Apps / Nerd Blog,2010,Integrated computational journalism team,Publish databases graphics tools methods and open-source code,ProPublica Nerd Blog
Local Reporting Network,2017,Yearlong salary-supported partnerships,Fund and edit investigations inside participating home newsrooms,ProPublica Local Initiatives
Regional newsrooms,2017-,Midwest Northwest South Southwest and Texas teams,Maintain geographic investigative capacity beyond New York,ProPublica Local Initiatives; 2025 Annual Report
Electionland,2016/2018/2020,Large collaborative reporting project,Monitor voting problems and misinformation,ProPublica Collaborate
Collaborate,2019,Open-source reporting software,Coordinate distributed newsrooms around shared datasets and tips,ProPublica Nerd Blog
Nonprofit Explorer,2013-,Public database and API,Search IRS nonprofit filings finances officers audits and full text,ProPublica Nonprofit Explorer
50 State Initiative,2024-,Local Reporting Network expansion,Support at least one investigative project in every state over time,ProPublica press releases
