program,launched,status,description,key_funders,source
Studio Program / Artist-in-Residence Program,1969,Active,"11-month residency for three artists; museum's longest-running founding initiative; 150+ alumni",Glenstone / Jerome / Wein endowment,studiomuseum.org/residency
Film Unit,~1969,Discontinued,Programming arm under Spriggs directorship,(operational),studiomuseum.org/history
Black Masters series,1974,Discontinued,Series rectifying historic absence of Black artists,(operational),studiomuseum.org/history
Fine Art of Collecting seminar,1976,Active,Collector education seminar,(operational),studiomuseum.org/history
James Van Der Zee Archive,1979,Active,World's largest collection of Van Der Zee work; Met partnership 2021,Mellon (VDZ grants),studiomuseum.org
Hale Woodruff Memorial Exhibition,1986,Recurring,Memorial exhibition series,(varies),studiomuseum.org/history
Sculpture Garden,1995,Active,Outdoor sculpture program (legacy site),(operational),studiomuseum.org/history
Expanding the Walls,2000,Active,High-school photography program inspired by VanDerZee Archive,(operational),studiomuseum.org/history
Uptown Fridays,2000,Discontinued,Late-evening programming,(operational),studiomuseum.org/history
Freestyle (F-show #1),2001,One-time,Inaugural F-show curated by Thelma Golden; introduces 'post-Black' framing,(museum + foundation),Wikipedia
Harlem Postcards,2002,Active,Quarterly photographic commission of Harlem street life,(museum operations),studiomuseum.org
StudioSound,2004,Active,Music commissioning series,(operational),studiomuseum.org/history
Studio magazine,2005,Active (biannual),Print biannual; AAM 2015 first prize Magazines/Scholarly Journals,(operational),store.studiomuseum.org
Frequency (F-show #2),2005,One-time,Second F-show; 35 emerging Black artists; Golden + Christine Y. Kim,(museum + foundation),Wikipedia
Joyce Alexander Wein Artist Prize,2006,Active,$50K annual prize for African-American artist,George Wein endowment,studiomuseum.org/wein-prize
Flow (F-show #3),2008,One-time,Third F-show,(museum + foundation),Wikipedia
Target Free Sundays,2009,Active,Free public-admission program,Target Corporation,studiomuseum.org/history
Studio Lab,2011,Active,Education / experimental program,(operational),studiomuseum.org/history
The Bearden Project,2011,One-time,100 artists responding to Romare Bearden,(museum + foundation),studiomuseum.org/history
Fore (F-show #4),2012,One-time,Fourth F-show; Naima Keith / Lauren Haynes / Thomas J. Lax,(museum + foundation),Wikipedia
MoMA-Studio Museum Curatorial Fellowship,2015,Active,Joint training fellowship with MoMA,(MoMA + SMH),studiomuseum.org
inHarlem,2016,Active,Outdoor sculpture installations across Harlem,(varies),studiomuseum.org/history
Fictions (F-show #5),2017,One-time,Fifth F-show; 19 emerging artists of African descent,(museum + foundation),Wikipedia / Artsy
Capital campaign / Creating Space,2015~,Concluded 2025,$300M+ campaign for new building + endowment + operations,Mellon $10M / Ford $10M / NYC $62M / Scott / corporate / many,The Art Newspaper / studiomuseum.org
Annual Gala,(annual),Active,Fall gala; presents Wein Prize and major announcements,(self-funded + sponsorship),studiomuseum.org
Studio Sundays (post-reopening),2025,Active,Programming under Art Bridges support,Art Bridges,studiomuseum.org/press
Community Day,2025,Active,Free reopening Community Day with workshops + DJs,MetLife Foundation / Movado Group Foundation,studiomuseum.org/press
J. Bruce Llewellyn Artist in Residence Center,2025,Active,Named AIR studios in new building (first occupied 2026 cohort),named for J. Bruce Llewellyn,studiomuseum.org/press
