year,event,category,source
1968,"Studio Museum founded by Eleanor Holmes Norton, Carter Burden, Charles E. Inniss, Campbell Wylly, Betty Blayton-Taylor, Frank Donnelly",org,studiomuseum.org/history
1968,"Inaugural exhibition: Tom Lloyd, Electronic Refractions II (24 Sept)",program,studiomuseum.org/history
1968,Studio Program proposed by William T. Williams,program,studiomuseum.org/residency
1969,Studio Program / Artist-in-Residence Program launched,program,studiomuseum.org/residency
1969,Charles E. Inniss departs; Edward S. Spriggs becomes director,leadership,studiomuseum.org/history
1974,Black Masters series begins,program,studiomuseum.org/history
1975,Spriggs departs; Courtney Callender becomes director,leadership,studiomuseum.org/history
1976,Fine Art of Collecting seminar launches,program,studiomuseum.org/history
1977,Callender departs; Mary Schmidt Campbell becomes director,leadership,studiomuseum.org/history
1979,New York Bank of Savings donates 144 W 125th St building to museum,org,multiple
1979,James Van Der Zee Archive acquired,program,studiomuseum.org
1981,Groundbreaking on 144 W 125th renovation (J. Max Bond Jr. architect),org,studiomuseum.org/history
1982,Reopens at 144 W 125th with Ritual and Myth: A Survey of African American Art,org,studiomuseum.org/history
1985,Tradition and Conflict exhibition (150 works / 55 artists),program,studiomuseum.org/history
1986,Hale Woodruff Memorial Exhibition series debuts,program,studiomuseum.org/history
1990,Contemporary African Artists: Changing Tradition exhibits at Venice Biennale,program,studiomuseum.org/history
1990,The Decade Show collaboration opens,program,studiomuseum.org/history
1995,Sculpture Garden opens with The Listening Sky,org,studiomuseum.org/history
2000,Mary Schmidt Campbell departs (museum-recorded end of directorship 2000); Lowery Stokes Sims becomes director,leadership,studiomuseum.org/history
2000,Expanding the Walls high-school photography program launches,program,studiomuseum.org/history
2000,Uptown Fridays begins,program,studiomuseum.org/history
2001,Freestyle exhibition (curated by Thelma Golden); first F-show; introduces 'post-Black' framing,program,studiomuseum.org / Wikipedia
2002,Harlem Postcards project launches,program,studiomuseum.org/history
2004,StudioSound music commissioning series begins,program,studiomuseum.org/history
2005,Sims departs; Thelma Golden becomes director and chief curator,leadership,studiomuseum.org/history
2005,Studio magazine launched,program,store.studiomuseum.org
2005,Frequency exhibition (second F-show; 35 emerging Black artists),program,Wikipedia
2006,Joyce Alexander Wein Artist Prize established (George Wein endowment),program,studiomuseum.org/wein-prize
2008,Flow exhibition (third F-show),program,Wikipedia
2009,Target Free Sundays launched,program,studiomuseum.org/history
2011,The Bearden Project (100 artists responding to Romare Bearden); Studio Lab launched,program,studiomuseum.org/history
2012,Fore exhibition (fourth F-show; Naima Keith / Lauren Haynes / Thomas J. Lax),program,Wikipedia
2015,Joint MoMA-Studio Museum curatorial fellowship established,program,studiomuseum.org
2015,Studio magazine wins AAM Museum Publications Design Competition first prize,program,store.studiomuseum.org
2015,Adjaye Associates commissioned to design new building,org,Adjaye Associates
2016,inHarlem initiative announces outdoor sculpture installations,program,studiomuseum.org/history
2017,Fictions exhibition (fifth F-show; 19 emerging artists of African descent),program,Wikipedia / Artsy
2018,Peggy Cooper Cafritz bequest delivers 400+ contemporary artworks,program,studiomuseum.org/history
2018,Closure of 144 W 125th building for demolition and rebuild,org,studiomuseum.org
2018,Capital campaign (Creating Space) reported above $175M target,funding,The Art Newspaper
2018,Groundbreaking on Adjaye-designed new building,org,studiomuseum.org
2019,MoMA PS1 partnership hosts AIR culminating exhibitions during construction,program,studiomuseum.org
2021,James Van Der Zee Archive partnership with Metropolitan Museum announced,program,studiomuseum.org
2021-06,MacKenzie Scott endowment gift announced,funding,studiomuseum.org/press
2021-10,Capital campaign reaches $210M (per The Art Newspaper),funding,The Art Newspaper
2022-12,Mellon $10M Capital Campaign grant,funding,mellon.org
2023-07,"Studio Museum severs ties with David Adjaye personally after FT report on misconduct allegations; Adjaye Associates' NYC team continues under Pascale Sablan",org,Financial Times / ARTnews
2024-10,Ford Foundation $10M endowment grant for Director and Chief Curator position; on Thelma Golden's 20th anniversary,funding,studiomuseum.org/press
2025-11-15,New 82000 sq ft Adjaye-designed building opens to the public; Tom Lloyd retrospective inaugural,org,studiomuseum.org/press
2026-03,2026 Artist-in-Residence cohort (Pharr / Quamina / Simmons) is first to occupy J. Bruce Llewellyn AIR Center,program,studiomuseum.org/press
