funder,date,amount_usd,program_area,project,term_months,source_url,notes
Mellon Foundation,2022-12-08,10000000,Presidential Initiatives,Capital Campaign (new building construction),24,https://www.mellon.org/grant-details/capital-campaign-20449604,Confirmed via Mellon Foundation grants database
Mellon Foundation,~2011,1000000,Curatorial Fund,Curatorial research fund (Phase I),,https://www.mellon.org/grant-details/curatorial-fund-8888,Phase I per Mellon database; ~$1M
Mellon Foundation,~2014,1000000,Curatorial Fund Phase II,Curatorial research and fellowship continuation,,https://www.mellon.org/grant-details/curatorial-fund-phase-ii-10633,~$1M Phase II per Mellon database
Mellon Foundation,2017-12,1000000,Curatorial Fund Phase II,Curatorial initiatives and off-site public programs,,https://mellon.org/grants/grants-database/grants/studio-museum-in-harlem-inc/31400616/,$1M Phase II December 2017
Mellon Foundation,(date TBD),TBD,Curatorial Fund Phase III,Curatorial Fund continuation,,https://www.mellon.org/grant-details/curatorial-fund-phase-iii-20444169,Phase III; amount TBD
Mellon Foundation,2018-07,TBD,Sustainability Plan,Studio Museum Sustainability Plan,,https://mellon.org/grants/grants-database/grants/studio-museum-in-harlem-inc/1807-06030/,Pre-COVID sustainability planning grant
Mellon Foundation,2020-07-10,TBD,Art Museum Futures Fund,Art Museum Futures Fund,,https://www.mellon.org/grant-details/art-museum-futures-fund-20447455,COVID-era museum stabilization grant
Mellon Foundation,(date TBD),TBD,Critical Collections,Critical Collections initiative,,https://www.mellon.org/grant-details/critical-collections-20447639,Mellon Critical Collections cohort
Mellon Foundation,(date TBD),TBD,Collections Management,Collections Management,,https://www.mellon.org/grant-details/collections-management-12658,
Mellon Foundation,(date TBD),TBD,VanDerZee Collection,Conservation and access for VanDerZee Archive,,https://www.mellon.org/grant-details/vanderzee-collection-836,Multi-year support for VDZ archive
Mellon Foundation -> Met Museum (partner grant),2022,2000000,Arts and Culture,James Van Der Zee Archive partnership,,https://www.metmuseum.org/press/news/2022/grant-from-the-mellon-foundation,Granted to the Met to support joint Met-SMH James Van Der Zee initiative
Ford Foundation,2024-10,10000000,Endowment,Permanent endowment of Director and Chief Curator position,,https://www.studiomuseum.org/press/ford-foundation-endows-position-of-director-and-chief-curator,Announced Oct 2024 at Studio Museum Gala on Thelma Golden's 20th anniversary
City of New York / NYC DCLA,(across campaign),62000000,Capital campaign,Capital campaign for new building,,,Reported in The Art Newspaper 2021 capital campaign coverage
MacKenzie Scott,2021-06,(undisclosed),Endowment,General endowment,,https://www.studiomuseum.org/press/the-studio-museum-in-harlem-awarded-endowment-gift-from-mackenzie-scott,Specific amount not disclosed by museum
2025 Pre-Opening Gala (event),2025-11,3700000,Operations,Pre-opening gala fundraising,,https://www.studiomuseum.org/press/studio-museum-in-harlem-opens-to-the-public-on-saturday-november-15,Over $3.7M gross at pre-opening gala
Fred Eychaner (claimed lead gift),(unverified),25000000,(claimed) Capital campaign,(claimed) Lead individual gift for new building,,,"NOT CONFIRMED in public record on this draft pass; intake brief listed; could not corroborate via Wikipedia / press releases / Eychaner Wikipedia page; flagged TBD pending donor wall review"
