year,event,category,source
1977,New Museum founded by Marcia Tucker,parent-org,Wikipedia
1999,Lisa Phillips becomes Director of the New Museum (from Whitney),parent-org leadership,Wikipedia
2007,New Museum opens 235 Bowery building (SANAA-designed; $50M),parent-org location,Wikipedia
2013,New Museum conceives NEW INC,org,multiple
2014-09,NEW INC launches with founding Year 1 cohort under Julia Kaganskiy as founding Director,org,multiple / Fast Company / Knight Foundation press
2015-07-14,Inaugural NEW INC Demo Day held at the New Museum,program,broadwayworld
2015,NEW INC's founding class presents collaborative projects (Core77 coverage),program,core77.com
2017-04-13,Knight Foundation announces $250K for NEW INC Museum Tech Track,funding,knightfoundation.org
2018-04~05,Julia Kaganskiy departs as founding Director (after ~4 years building the org),leadership,artnews.com
2018-05-17,New Museum names Stephanie Pereira (ex-Kickstarter) Director of NEW INC,leadership,artnews.com
2018-07-02,Pereira begins,leadership,artforum.com
2021-05,Pereira departs after three years,leadership,artforum.com
2021-07-26,New Museum appoints Salome Asega Director of NEW INC (from Ford Foundation),leadership,artforum.com
2022-12-08,Mellon awards $1.5M / 36mo for ""New Director Vision"" supporting Asega,funding,mellon.org
2023,DEMO2023 festival expands DEMO Day from a single day into a multi-day festival,program,demo2023.org
2024-04,DEMO2024 festival,program,fadmagazine.com
2024-09-10,Year 11 (2024-25) cohort announced — 5 tracks: Art & Code (with Rhizome) + Creative Science + Extended Realities + Social Architecture + Cooperative Studies,program,rhizome.org / newmuseum.org / artsphoria.biz
2025-08-26,Year 12 (2025-26) cohort announced — 74 new members across 5 tracks,program,ouispeakfashion.com
2025-09,Year 12 (2025-26) program begins (Sept 2025 - June 2026),program,multiple
2026-03-18,Lisa Phillips's $82M OMA-designed expansion announced — includes ""fully dedicated"" permanent NEW INC space + tools,parent-org location,theartnewspaper.com
2026-03-21,Expansion opens,parent-org location,theartnewspaper.com
2026-04,Lisa Phillips retires after 27-year directorship,parent-org leadership,theartnewspaper.com
2026-04-06,Julia Kaganskiy (founding NEW INC Director) named Eyebeam Executive Director — sibling-org connection across two AC dossiers,leadership / cross-org,eyebeam.org
2026-06,DEMO2026 festival scheduled June 3-5,program,demofestival.org
