funder,date,amount_usd,program_area,project,term_months,source_url,notes
Andrew W. Mellon Foundation,2020-04-29,150000,Presidential Initiatives,Rapid Response Fund for a Better Digital Future,12,https://www.mellon.org/grant-details/rapid-response-fund-for-a-better-digital-future-20447022,
Henry Luce Foundation,2020-04-28,150000,Public Policy,COVID Emergency Grant,,https://www.hluce.org/grants/grants/covid-emergency-grant-eyebeam/,
Andrew W. Mellon Foundation,2021-06-11,600000,Presidential Initiatives,General operating support,36,https://www.mellon.org/grant-details/the-eyebeam-atelier-inc.-20449592,
Ford Foundation,2021,650000,,Democracy Machine fellowship program,36,https://www.fordfoundation.org/work/our-grants/awarded-grants/grants-database/eyebeam-atelier-inc-139325/,Direct grant DB record was 404 at fetch 2026-05-02; amount confirmed via ARTnews and Artnet press
Andrew W. Mellon Foundation,2021,500000,,Democracy Machine (aggregate Mellon line),,https://news.artnet.com/art-world/eyebeam-new-fellowship-program-2026181,Press reports total Mellon support of $1.1M for Democracy Machine inclusive of 2021 genop and additional disbursements; year/term TBD
Henry Luce Foundation,2021,150000,,Democracy Machine,,https://news.artnet.com/art-world/eyebeam-new-fellowship-program-2026181,Press confirmation; direct Luce grant page TBD
Andrew W. Mellon Foundation,2023-03-29,92400,Arts and Culture,"Eyebeam + Momus + Forge Project — virtual and in-person residency for Indigenous emerging art writers and editors (Spring 2023)",9,https://www.mellon.org/grant-details/the-eyebeam-atelier-inc.-20454077,
Andrew W. Mellon Foundation,2024-03-22,150000,Arts and Culture,Convening on artificial intelligence and its impact on the arts and culture field,12,https://www.mellon.org/grant-details/the-eyebeam-atelier-inc.-20456337,
Jerome Foundation,2025,,,Speculating on Plurality 2026 residency program,,https://www.jeromefdn.org/eyebeam,Current Jerome support; amount TBD
Atlantic Foundation,2013,,,Seed funding for Chelsea-to-Brooklyn move (with proceeds from sale of 540 W 21st building),,https://technical.ly/brooklyn/2014/06/30/eyebeam-moved-sunset-park/,Press attribution; specific amount TBD
