period,program,format,location,scale,sponsor,notes,source
2003-2018,Storefront events,2 events/week (typical),1200 D N Alvarado,~2 events/week free + free of charge,members + memberships + donors,"scientific talks, poetry readings, music performances, theatre, workshops",heavymannerslibrary.com/about + machineproject.com
2003-2018,Storefront workshops,workshops (recurring),1200 D N Alvarado,varies (small-cohort),tuition + members,"electronics, sewing, pickling, computer programming, cyanotype, synthesizer-building, crochet, taxidermy, hot-air-balloon-making, instrument fabrication, lucid-dreaming meditation",machineproject.com/archival/about/ + Hyperallergic + Hammer page
2008-11-15,A Machine Project Field Guide to LACMA,one-day takeover (10 hours),LACMA,60+ projects with 35 artists,LACMA Public Programs + Ralph M. Parsons Endowment + Machine funders,"the org's signature institutional commission; documented in 2010 book ISBN 978-0-9753140-4-3",machineproject.com event page + Field Guide book
2009 to 2010,Hammer Public Engagement A.I.R.,year-long museum residency,Hammer Museum (UCLA),~75-80 onsite programs,James Irvine Foundation (via Hammer's $1M Arts Innovation Fund grant),"first Public Engagement Artist in Residence; Houseplant Vacation, Two-Minute Performances, Overnight Dream-In, The Giant Hand, A Year in the Life of a Coatroom, Enormous Microscope Evening, Fungi Fest, Soundings: Bells",hammer.ucla.edu + Hammer A.I.R. Report
2014,Gamble House intervention,site-specific takeover,Gamble House (Pasadena),(undisclosed scale),(undisclosed),"secret basement restaurant by Bob Dornberger; vortex sculpture / puppet by Patrick Ballard",Wikipedia
2015,Return to Foreverhouse (Patrick Ballard),2-month installation + programming series,1200 D N Alvarado (storefront),many LA artists creating new works inside the installation,Pasadena Art Alliance,"sculptural environment + kinetic elements + 2-month programming",pasadenaartalliance.org
2015-09 to 2016-01,Machine Project -- The Platinum Collection (Live by Special Request),museum retrospective exhibition,Tang Teaching Museum (Skidmore),(extensive),Tang Teaching Museum,"multi-month re-staging of past Machine projects on commission",tang.skidmore.edu
2017,Platinum Collection EXTRAVAGANZA (book launch),storefront book launch,1200 D N Alvarado,1 event,Tang/DelMonico Prestel,"launched the 318-page Tang/Prestel hardcover at the storefront",machineproject.com 2017 events
2017-09 to 2017-11,"Sorry, Atlantis: Eden's Achin' Organ Seeks Revenge",multi-month theatrical production,1200 D N Alvarado,(Asher Hartman play),(undisclosed),"one of the final long-form storefront productions before closure",Hyperallergic
2018-01-13,Print Sale and Wrap Party,closure event,1200 D N Alvarado,2--9pm,(self),"final public event; print sale 2--6pm + wrap party 6--9pm; limited-edition silkscreen posters from $40",Hyperallergic + Artforum
various,Cross-institutional shows,one-off,"MCA Denver, CAM St Louis, Walker Art Center, Tang",(varied),(co-funded by hosting institution),"Mark Allen-led shows under the Machine banner at peer museums",CalArts 2010 Q&A + Pomona profile
