program,launched,status,duration,cohort_size,stipend_or_compensation,description,key_funders,source
Visual Arts Residency,~2013,Active,5 months,12/year,$2500 honorarium,"Open-call residency in glass-walled studios; emerging + mid-career; access to ceramics / risograph / darkroom / 3D / laser",(general; capital campaign + recurring),ArtDeadline 2026
Music Residency,~2013,Active,1 month,12/year,$1000 honorarium,"Exclusive use of professional recording studio; engineering support; jury of alumni + staff",(general; capital campaign),ArtDeadline 2026
Technology Residency,~2014,Invite-only (formerly open-call),~3 months,(varies),(varies),"Tech Lab access (3D printers / laser cutter / VR / robotics / AI / additive manufacturing); shifted to invite-only",(general; capital campaign),pioneerworks.org/technology
Narrative Arts Residency,2020,Pilot (uncertain status),(TBD),(TBD),(TBD),"Piloted in the 2020 open call alongside Visual / Music / Technology",(general),Hyperallergic 2019
Second Sundays,2013,Active,One day / month,n/a,n/a,"Free monthly open house; open studios + music + exhibitions + food + garden; second Sunday of every month; hundreds of attendees",(general operations),pioneerworks.org / AAA 2018
Scientific Controversies,2014,Active,Series,n/a,n/a,"Discussion series founded with Levin + Putman; Nobel laureates + working scientists in conversation; hundreds of attendees per event",(general operations + science),BkMag 2022 / Wikipedia
Broadcast (online magazine),2020,Active,Continuous + annual print,n/a,n/a,"Online magazine of arts + sciences; first print issue Nov 2023 (Issue 01); Levin + Jelly-Schapiro EICs",(general operations),Star-Revue 2024
Pioneer Works Press,~2016,Active,Continuous,n/a,n/a,"Imprint for experimental / artist-author publications; co-distributed with Printed Matter and others",(general operations),pioneerworks.org/publishing
Village Fête (annual gala),2014-05,Active,One night / year,n/a,n/a,"Principal annual fundraiser; first held 4 May 2014; cancelled 2020 (7th annual; COVID); 2025 edition featured David Byrne",(self-fundraising),pioneerworks.org / ArtNews 2025
Online Benefit Auction,(ongoing),Active,Annual / ongoing,n/a,n/a,"Online auction at auction.pioneerworks.org; complement to the in-person Village Fête",(self-fundraising),pioneerworks.org/auction
Fall Benefit / OPEN (2024),2024-10-08,One-time (?),One night,n/a,n/a,"Reopening gala 8 Oct 2024 honoring Gabriela Hearst + Dustin Yellin; performances by Resistance Revival Chorus",(self-fundraising),Surface 2024
K-12 Education (with Red Hook Initiative),(ongoing),Active,School year,300+ students/yr (2022),Free,"Free workshops in environmental photojournalism + music with the Red Hook Initiative and other neighborhood partners",(general operations),BkMag 2022
Public Observatory,(planned 2025-2026),Under construction,Continuous,n/a,Free,"Plan to operate as NYC's first free public observatory; 16-foot restored 1890s antique telescope on roof; final $1.7M of capital campaign earmarked",(capital campaign),Surface 2024
Earlier publications: Intercourse / Groundworks / MIMO,(early years),Wound down,Periodic,n/a,n/a,"Magazine + pocket series + pamphlet series; replaced by Broadcast",(general operations),FvF 2017
