funder,type,year(s),amount,relationship,notes,source
Y Combinator,seed investor (equity),2010-Summer,(undisclosed),seed for Hackruiter,"original recruiting-startup seed before pivot to Hacker School July 2011; check size and equity stake not public; YC company-page lineage confirmed",YC profile + Wikipedia
Etsy,program sponsor (Hacker Grants),2012--2014+,$50K initial / $200K+ committed by 2014,grant funding for women applicants' living expenses,"NOT equity; sponsored the diversity grants program; first major partnership that put RC on the public map mid-2012",Forbes 2012 + RC blog 26 + RC blog 43
Dropbox,program sponsor (Hacker Grants),2014+,(undisclosed),grant funding,"named in 2014 RC blog post supporting female programmers",RC blog 26
Tumblr,program sponsor (Hacker Grants),2014+,(undisclosed),grant funding,"named in 2014 RC blog post",RC blog 26
Tapad,program sponsor (Hacker Grants),2014+,(undisclosed),grant funding,"named in 2014 RC blog post",RC blog 26
Jane Street,program sponsor (Hacker Grants) + hiring partner,2014+,(undisclosed),grant funding + ongoing hiring partner,"dual role: funded grants AND hires Recursers via the standard 25% recruiting fee",RC blog 26 + Wikipedia
Juniper,program sponsor (diversity grants),~2014,$100000 pledged,grant funding,"pledged additional $100K for diversity grants per RC blog 43",RC blog 43
Perka,program sponsor (diversity grants),~2015,$10000,grant funding,"per blog post 108 (Thanks to Perka for funding $10k of diversity grants)",RC blog 108
RC operating budget (self-funded grants),internal,2015--present,n/a,grant funding,"after the 2015 transition leadership took 60% pay cuts for four months rather than reduce grant funding",RC blog 148
(no public subsequent funding rounds),(none disclosed),2011--2026,n/a,n/a,"Crunchbase blocked 403 on 2026-05-02; Wikipedia surfaces no later rounds; Hackruiter YC seed appears to be the only equity event",inferred from absence
