date,event,source
2010-Summer,"Hackruiter founded as engineering recruiting startup; Y Combinator seed funding; Bergson-Shilcock + Sridhar","Wikipedia + YC profile"
2011-07,"Hackruiter pivots to Hacker School; David Albert joins as co-founder; first batch in NYC","Wikipedia"
2012-Summer,"Etsy partnership announced: 10x $5000 Hacker Grants for women in Summer 2012 batch","Forbes 2012-04-06"
2012,"Notable alumni Timnit Gebru and Michael Nielsen attend Summer 2012 batch","Wikipedia"
2012-12-17,"Bergson-Shilcock publishes 'What we mean when we say hacker' essay","RC blog"
2014,"Hacker School achieves self-sufficiency from recruiting income","Wikipedia"
2014-09-25,"'Building a better and more diverse community' post: Etsy committed $200K+, Juniper $100K, community growth from <5% to 35% women","RC blog 43"
2015,"Grants funding switches from corporate-sponsored to RC-self-funded; leadership takes 60% pay cuts for four months rather than reduce grants","RC blog 148"
2015-03-25,"Hacker School renames to Recurse Center; rename announcement post by Bergson-Shilcock","RC blog 77 + HN 9264244"
2015-Summer,"Greg Brockman attends batch (pre-OpenAI)","Wikipedia"
2015-05-11,"Michael Nielsen joins as RC Resident","RC blog 2015"
2017-06,"First formal Code of Conduct adopted","Wikipedia"
2019,"Cumulative grants disbursed pass $1.5M; 'seven years of working to make RC 50% women, trans, and non-binary' post; 48% of new admits identify as women, trans, or non-binary","RC blog 148"
2020-03-12,"Bergson-Shilcock posts 'RC is online-only until at least May'","RC blog 152"
2020-03-14,"Physical space closes Saturday at 5pm","RC blog 152"
2020-Summer,"RC pivots to fully online via Virtual RC / RC Together (custom 2D-map + Zoom integration)","rcvirtualpage"
2020-end,"Announcement that batches will continue running online through 2021","RC blog 153"
2023-02-22,"Mai Schwartz publishes 'You can do more than you think' formalizing the three self-directives","RC blog 2023"
2023-03-late,"David Albert transitions from full-time staff to Co-founder Emeritus + board member","rcteam"
2023-05-08,"Rachel Petacat publishes 'A new kind of retreat'; Brooklyn space reopens; hybrid format formalized","RC blog 187"
2024-08,"Code of Conduct revised","rccodeofconduct"
2025-07-23,"Bergson-Shilcock publishes 'Developing our position on AI' --- major organizational stance","RC blog 2025"
2026-04-24,"Rachel Petacat publishes redesigned application post","RC blog 2026"
