funder,type,year(s),amount,program_supported,source
Knight Foundation,foundation,2019,(undisclosed; covered op costs),"Poetic Computation: Detroit (1-week remote)",2019/readme.md
YCAM (Yamaguchi Center for Arts and Media),institutional partner,2019,$12500 contracted ($11913.48 received Jan 2020),"SFPC Summer in Yamaguchi (2-week remote in Japan)",2019/readme.md
Ford Foundation,foundation,2024+,(undisclosed),(general / programmatic),sfpc.study/about
Art for Justice (Agnes Gund / Ford-administered),foundation,2024+,(undisclosed),(general / programmatic),sfpc.study/about
The Studio for Creative Inquiry / CMU School of Fine Art,institutional,Summer 2015,(student tuition for Katie Rose Pipkin),Summer 2015 tuition,2015/readme.md
Babycastles,institutional partner,Spring 2015,(donated final-show space),Spring 2015 final exhibition,2015/readme.md
Orbital,institutional partner,2014--2017,(rent at cost; full-building access),2014--2017 sessions,2015/readme.md
Galen MacDonald,individual,?,(undisclosed),(general),sfpc.study/about
Jeffrey Alan Scudder,individual,?,(undisclosed),(general),sfpc.study/about
Maya Man,individual,?,(undisclosed),(general),sfpc.study/about
fiscal sponsor (unnamed in public docs),fiscal sponsor,2013--present,n/a,routes tax-deductible donations,sfpc.io/faq
GoFundMe (community),crowdfunding,2020,(covered immediate overhead post-Spring-cancellation),overhead during COVID,GoFundMe page
