month,entry_class,boots
2026-01,root/prompt,1655
2026-01,kidlisp code,505
2026-01,handle page,15
2026-01,named piece,1428
2026-02,named piece,4570
2026-02,handle page,43
2026-02,root/prompt,7362
2026-02,kidlisp code,42564
2026-03,kidlisp code,1038
2026-03,named piece,3922
2026-03,root/prompt,5623
2026-03,handle page,55
2026-04,kidlisp code,731
2026-04,handle page,24
2026-04,root/prompt,5844
2026-04,named piece,5525
2026-05,named piece,3797
2026-05,handle page,33
2026-05,kidlisp code,79
2026-05,root/prompt,4766
2026-06,kidlisp code,717
2026-06,named piece,4233
2026-06,root/prompt,3785
2026-06,handle page,344
2026-07,handle page,89
2026-07,root/prompt,3246
2026-07,named piece,3856
2026-07,kidlisp code,81
2026-08,kidlisp code,162
2026-08,root/prompt,4773
2026-08,named piece,4360
2026-08,handle page,156
2026-09,kidlisp code,22
2026-09,handle page,173
2026-09,root/prompt,1329
2026-09,named piece,2077
