company,first_named,role,notes,source
Etsy,2012,hiring partner + Hacker Grants funder,"the original 2012 partnership; both hires-via-25%-fee and grants funder; Etsy CTO Kellan Elliott-McCrea + diversity work led to 'Hacker Grants' becoming the public on-ramp",Forbes 2012 + RC blog 26 + Wikipedia
Dropbox,2014,hiring partner + diversity grant funder,"named alongside Etsy / Tapad / Tumblr / Jane Street in the 2014 RC blog post",RC blog 26
Tumblr,2014,hiring partner + diversity grant funder,"named in 2014 RC blog post",RC blog 26
Tapad,2014,hiring partner + diversity grant funder,"named in 2014 RC blog post",RC blog 26
Jane Street,2014,hiring partner + diversity grant funder,"financial-trading firm; long-running hiring relationship with RC alumni",RC blog 26 + Wikipedia
Stripe,(timing TBD),hiring partner,"frequently cited in alumni posts; common destination for RC alumni",industry-known
Airtable,(per Wikipedia),hiring partner,"named in Wikipedia hiring-partners list",Wikipedia
Notion,(per Wikipedia),hiring partner,"named in Wikipedia hiring-partners list",Wikipedia
Hudson River Trading,(per Wikipedia),hiring partner,"named in Wikipedia hiring-partners list; financial trading",Wikipedia
OpenAI,(per Wikipedia),hiring partner,"named in Wikipedia hiring-partners list; Greg Brockman is an alum (Summer 2015)",Wikipedia
Juniper,~2014,diversity grant funder (~$100K),"pledged $100K of additional grants per RC blog 43",RC blog 43
Perka,~2015,diversity grant funder ($10K),"per blog post 108 (Thanks to Perka for funding $10k of diversity grants)",RC blog 108
Dealops,2026,hiring partner,"current site testimonial: Fay Wu Co-Founder & CTO",rchirepage
J2 Health,2026,hiring partner,"current site testimonial: Keerthi Reddy Head of Data",rchirepage
Seabound,2026,hiring partner,"current site testimonial: Roujia Wen CTO",rchirepage
Relevant,2026,hiring partner,"current site testimonial: Brandon Hamilton CTO",rchirepage
(100+ total partners),(per manual),hiring partners,"the User's Manual reports 100+ hiring partners; the full roster is not surfaced as a single public list; testimonials rotate",rcmanual
