program,launched,status,description,key_funders,source
Rhizome Raw / Digest mailing list,1996,Wound down post-2010s,Original email list connecting artists working with digital media,(early operational support),Rhizome 25 announcement
ArtBase,1999,Active (overhaul 2024–),Curated archive of born-digital artworks; 2000+ works as of 2020s,Mellon (2024 overhaul),Rhizome 25 / Wikipedia
Commissions Program,2001,Active,Commissioned new net art / digital art works,Warhol / Jerome / Greenwall / NEA / NYSCA / Teiger / DCLA,Rhizome 25 / Warhol Foundation
ArtBase 101 exhibition,2005,One-time,New Museum exhibition pulling from ArtBase,(museum-funded),Wikipedia
Seven on Seven,2010,Active 2010–2019; revived,Annual conference pairing artists and technologists at New Museum,(varies),Wikipedia / sevenonseven.art
Formal preservation program,2010,Active,Continuous preservation work for born-digital art,Mellon recurring,Rhizome 25
First Look,~2013,Active,Online commissioning series co-presented with the New Museum,Deutsche Bank Americas (some entries),arxiv-whistlegraph
NY NY HP HP,2013,One-time,Experiential artwork,,Wikipedia
Colloq,2014,Discontinued,Social media archiving tool,,Wikipedia
VVORK archive,2015,Active (archive),Acquired and preserved the VVORK blog,,Wikipedia
OldWeb.Today,2015,Active,Browser emulation tool to view old websites,Mellon-supported,Wikipedia
Webrecorder.io,2016,Renamed Conifer 2020,Public web archiving tool,Mellon (2015–2021),Wikipedia
Net Art Anthology,2016-10,Concluded 2019,Two-year exhibition of 100 net art works,(Mellon + others),Wikipedia / beyondnewmedia.art
Microgrants,2014,Active,Small-grant program ($500–$1500) for net art / VR / poetry,Knight (rollout); Microgrants donors,Rhizome editorial
Editorial / Rhizome blog,2000s onward,Active,Continuous critical writing on digital art,(operational),Rhizome 25
Conifer,2020,Discontinuing June 2026,Renamed and respun Webrecorder.io public service,Mellon,Wikipedia
Webrecorder (separate entity),2020,Active,Spun out as independent open-source project,Mellon Phase Two + sustainability,Wikipedia / Conifer launch
Benefit Auction,(annual),Active,Annual fundraising auction with artist-donated works,(self-funded),standard nonprofit practice
Change Capital initiative,2021,Active 2021–2026,Long-term resilience effort with Mellon Change Capital grant,Mellon $1M 5yr,Rhizome 25
ArtBase overhaul,2024,Active 2024–2027,Full archive overhaul with new infrastructure,Mellon $750K 36mo,Mellon grant detail
