role,name,tenure_start,tenure_end,prior_affiliation,notes
President,Charles S. Hamilton Jr.,1969,1971,Avalon Foundation,first president of merged foundation
President,Nathan M. Pusey,1971,1975,President Harvard,
President,John E. Sawyer,1975,1987,President Williams College,
President,William G. Bowen,1988,2006,President Princeton,longest tenure to date (18 years)
President,Don Michael Randel,2006,2013,President University of Chicago,
President,Earl Lewis,2013,2018,Provost Emory; founding director NCID Michigan,first non-university-president incumbent
President,Elizabeth Alexander,2018,,Yale & Columbia (poet/scholar),led 2020 rebrand and Monuments Project
Board Chair,Hanna Holborn Gray,,2003,President emerita University of Chicago,23 years on board prior to chairmanship; exact chair start TBD
Board Chair,Anne M. Tatlock,2003,2012,Fiduciary Trust,9-year chair tenure
Board Chair,W. Taylor Reveley III,2012,,President William & Mary,exact end TBD
Board Chair,Danielle S. Allen,2015,2019,Harvard,4 years as chair after 11 on board total
Board Chair,Kathryn A. Hall,2019,,Hall Capital Partners,current chair
Trustee,Margaret Anadu,,,The Vistria Group,impact investment
Trustee,Paul Farber,,,Director Monument Lab,Monuments Project program tie
Trustee,Patrick Gaspard,,,Center for American Progress,former Open Society Foundations president
Trustee,Melissa Gilliam,,,President Boston University,
Trustee,Thelma Golden,,,Director Studio Museum in Harlem,joined 2019; recurring grantee tie
Trustee,Kelly Granat,,,Lone Pine Capital,
Trustee,Sherrilyn Ifill,,,President Emerita NAACP LDF,
Trustee,Maryana Iskander,,,CEO Wikimedia Foundation,
Trustee,Gaurav Kapadia,,,XN founder/CEO,
CCO,Vanessa Correa,,,,led 2020 rebrand with Pentagram
Senior Officer,Don Waters,,,,longtime Scholarly Communications program officer
Senior Officer,Helen Cullyer,,,,longtime Scholarly Communications program officer
