name,role,period,notes,source
Matthew James-Wilson,Founder,2021--present,"founder; previously self-published the 300-page art quarterly FORGE 2012--2018; has curated art exhibits and written for Pitchfork and VICE",heavymannerslibrary.com/about + Hyperallergic + ICON11 bio
Molly Soda,Co-Founder / Co-Curator,2021--present,"artist; the failed book project on internet-and-art the two co-developed seeded the library's first donations",heavymannerslibrary.com/about + Flipboard podcast
Yulia Cymbura,Head Librarian,?--present,current per about page,heavymannerslibrary.com/about
Jane Shin,Programming Director,?--present,current per about page,heavymannerslibrary.com/about
Saria Dang,Librarian,?--present,current per about page,heavymannerslibrary.com/about
Brock Stuessi,Archiving Consultant,?--present,current per about page,heavymannerslibrary.com/about
Maya Man,Web Designer,?--present,"current per about page; also named on sfpc.study/about as one of three explicitly-named SFPC individual supporters",heavymannerslibrary.com/about + sfpc.study/about
Lucas Vocos,Web Developer,?--present,current per about page,heavymannerslibrary.com/about
Mark Allen,Prior tenant -- founder Machine Project,2003--2018,"founded Machine Project at 1200 N Alvarado in 2003; closed Jan 13 2018 farewell event; not affiliated with HML but provides building lineage",Hyperallergic + Wikipedia (Machine Project)
Paolo Davanzo,Prior tenant -- co-founder Echo Park Film Center,2002--2022,"co-founded EPFC in 2002 next door to Machine Project; lease expired end of January 2022; EPFC Collective continues to host screenings in HML's basement",The Eastsider LA + EPFC Collective site
Lisa Marr,Prior tenant -- co-founder Echo Park Film Center,2002--2022,"co-founder; same lineage as Davanzo",The Eastsider LA + EPFC Collective site
Jordan Collins,Channels co-host (recurring collaborator),2025-- (visible),"co-host of dublab's Channels series; broadcast from HML 2025-05-10",dublab archive
Lewis Thompson,Channels co-host (recurring collaborator),2025-- (visible),co-host of dublab's Channels series; broadcast from HML 2025-05-10,dublab archive
Nia Michelle (Nia Harris),Channels co-host (recurring collaborator),2025-- (visible),co-host of dublab's Channels series; broadcast from HML 2025-05-10,dublab archive
Kendra Yee,Exhibiting artist,May--Jun 2022,"'halfway between noon and midnight' exhibit, May 5 -- Jun 12 2022",heavymannerslibrary.com/events
Jesse Moynihan,Exhibiting artist,Jun--Jul 2022,"'Major Arcana Tarot' exhibit, Jun 23 -- Jul 17 2022",heavymannerslibrary.com/events
Tiny Splendor (collective),Exhibiting collective,Oct 2022,"'Tiny Splendor 10th Anniversary Exhibit', opened Oct 20 2022",heavymannerslibrary.com/events
Patrick Kyle,Journal contributor,Mar 2023,"'Patrick Kyle's Recommended Reading' Journal piece (Mar 16 2023)",heavymannerslibrary.com/journal
Aidan Koch,Visiting collaborator (off-site),2025--,"co-presented Spiral and Other Stories at Skylight Books with Matthew James-Wilson",Skylight Books event listing
