funder,role,notes,source
Andrew W. Mellon Foundation,Major institutional funder,Multi-decade funder of Public Knowledge / web preservation work; Community Webs cohort training; Long Tail journals; IA Scholar; minimum 8+ confirmed grants 2006-2023,mellon.org grants database
Knight Foundation,Major institutional funder,$1M for TV News Search & Borrow expansion; political TV ad tracking pilot 2014/2016,philanthropynewsdigest.org / blog.archive.org
Alfred P. Sloan Foundation,Major institutional funder,$1M to digitize and provide online access to historical collections from five major libraries,philanthropynewsdigest.org
NEH (National Endowment for the Humanities),Federal grant agency,Digital preservation infrastructure; specific grants to IA recurring; tied to Long Tail journals work,neh.gov / blog.archive.org
IMLS (Institute of Museum and Library Services),Federal grant agency,Digital humanities advancement / Community Webs partner support,imls.gov
Kahle/Austin Foundation,Founder family foundation,Brewster Kahle and Mary Austin's private foundation; significant ongoing transfer to IA; $4.5M reported giving in 2011 (multiple recipients incl FSF GNU project),Wikipedia / 990
Permanent Archive Fund,DAF / pooled fund,$6.6M (2024-12) for Open Library Initiative; largest single named recipient in 2024 grant pull,causeiq.com
Fidelity Investments Charitable Gift Fund,DAF pass-through,$2821543 (2024-06); donor-advised pooled donations,causeiq.com
American Online Giving Foundation,DAF pass-through,$381944 (2025-03),causeiq.com
California State Library,State funder,Open Library funded in part by California State Library,Wikipedia
Library of Congress (FedScan),Government client / partner,Federal scanning center contractor relationship,loc.gov
Wikimedia Foundation,Peer / partner,Cross-org partnership for citations and reference archiving,blog.archive.org
University libraries,Earned-income clients,Boston Public Library / U Toronto / UC Berkeley / Wellcome / others pay for scanning services -- counted as program service revenue not contributions,blog.archive.org
Kresge Foundation,Institutional funder,Periodic capital / capacity grants; specific year/amount TBD,causeiq.com
Walmart Foundation,Institutional funder,Periodic; specific year/amount TBD,causeiq.com
