program,launched,status,description,key_funders,source
Video / Media Art (founding program),1971,Active (continuous),"Founding discipline of The Kitchen; weekly performances + Wednesday open-house screenings of video work in the original Mercer kitchen.","NEA Media Arts (recurring); Mellon (recent)",The Kitchen Field Notes / Wikipedia
Music programming (Music Director track),1971,Active (continuous),"From the founding period onward; key tenures include Rhys Chatham (1971-73, 1977-80), Arthur Russell (1974-75), Garrett List (1975-77), George E. Lewis (1980-82), Ann DeMarinis (1982-85), Arto Lindsay (1986-87). Foundational role in no wave era.","NEA Music; recurring",Wikipedia / The Kitchen Archives
The Kitchen Presents (broadcast TV initiative),1978,Concluded,"Launched by Mary MacArthur; producer Carlota Schoolman produced video works for television.",,The Kitchen Archives
Dancing In The Kitchen,1978,Concluded,Founding dance program at the Wooster/Broome SoHo location.,,Wikipedia
Filmworks,1978,Concluded,"Curated by Leonardo Katz; included Filmworks '82 (curator: Amy Taubin).",,The Kitchen Archives
Contemporary Music Series,1979,Active (legacy),Year-round contemporary composition and experimental music programming.,,Wikipedia
New Music/New York → New Music America,1979 (NY) / 1980 (America),Discontinued,"Festival format launched as New Music/New York 1979; expanded to New Music America 1980 — became a model multi-city contemporary-music festival traveling to other host cities through the 1980s-90s.",NEA Music (era); NYSCA,Wikipedia
Aluminum Nights,1981,One-time,10th-Anniversary downtown-music celebration.,,Wikipedia
Dance and Process,1990 (under name Working in The Kitchen) / 1995 (renamed),Active — longest-running named program,"Curated dance commissioning and process-driven dance presentation series.",NEA Dance (recurring),Movement Research / The Kitchen Archives
TV Dinner,1998,Concluded 2004,"Vegetarian buffet + evening of time-based art; conceived by ED Elise Bernhardt.",,The Kitchen Archives
Kitchen House Blend,2000,Concluded 2005,Music series during the Bernhardt / Singer transition era.,,Wikipedia
The Kitchen L.A.B.,2011,Active (Griffin era),Interdisciplinary discussion / talks series founded under Tim Griffin.,,Wikipedia / artforum
Synth Nights,2010s (Griffin era),Active (Griffin era),Electronic music series founded under Tim Griffin.,,artforum
Aluminum Music + Pioneers of the Downtown Sound,2011,One-time (40th Anniversary),"40th Anniversary programs (Aluminum Music April 15-16, 2011; Pioneers of the Downtown Sound September 9-10, 2011).",,Wikipedia
Without Walls programming,2022,Active 2022 -,"Distributed presentation model during the W 19th Street renovation; programs at Westbeth Artists Housing (163B Bank Street) and partner venues citywide.",Mellon (capacity-building 2023),The Kitchen About
The Next 50 capital campaign,2021,Active 2021 -,"50th-anniversary capital campaign for the renovation of the W 19th Street building. Public goal: $40M (campaign site); ArchPaper reported $19M pledged at launch with a $28M-five-year framing at announcement.",The Next 50 donors (collective),thenext50.thekitchen.org / archpaper.com
Annual Benefit / Gala,(annual),Active,Annual fundraising benefit; specific Schedule G detail not yet extracted in this pass.,,inferred (standard nonprofit practice)
Editorial / OnScreen archive site,2010s -,Active,"Online archive of programs at onscreen.thekitchen.org; oral histories, archival video.",,The Kitchen OnScreen
