date,event,category,source
1937-08-26,Andrew W. Mellon dies (b. 1855),genealogy,wikipedia
1940,Avalon Foundation established by Ailsa Mellon Bruce,formation,influencewatch
1941,Old Dominion Foundation established by Paul Mellon,formation,influencewatch
1956-09,IRS tax-exempt status conferred (continuity of Avalon),legal,propublica
1969-06-30,Avalon and Old Dominion Foundations merge as Andrew W. Mellon Foundation; combined assets ~$273M,formation,mellon.org/history + influencewatch
1969,Charles S. Hamilton Jr. becomes first president,leadership,mellon.org/history
1971,Nathan Pusey becomes president,leadership,mellon.org/history
1975,John E. Sawyer becomes president,leadership,mellon.org/history
1980,Total assets reach ~$880M,money,mellon.org/financials
1988,William G. Bowen becomes president,leadership,mellon.org/history
1988,Mellon Mays Undergraduate Fellowship launches,program,
1995,JSTOR established as a Mellon initiative; later spun out as ITHAKA,program,wikipedia
2003,Mellon Mays Fellowship renamed in honor of Benjamin E. Mays,program,
2006,Don Michael Randel becomes president,leadership,mellon.org/history
2013,Earl Lewis becomes president,leadership,mellon.org/history
2016-03,$30M endowment challenge grant to National Gallery of Art (75th anniversary),flagship,nga.gov press
2018-02,Elizabeth Alexander appointed president (effective summer 2018),leadership,yale news
2019-03,Kathryn A. Hall succeeds Danielle S. Allen as Board Chair,governance,prnewswire
2020-06,Strategic shift announcement: foundation reorients all grant-making toward social justice,strategy,artnet
2020-06,"Rebrand: ""The Andrew W. Mellon Foundation"" becomes ""Mellon Foundation"" (Pentagram)",branding,pentagram
2020-07,$300M social bond issuance to fund COVID emergency grants,money,mellon.org/financials
2020-10-05,Monuments Project announced with $250M five-year commitment,flagship,npr
2021-06-28,Creatives Rebuild New York announced; $115M Mellon + $5M Ford + $5M SNF,flagship,mellon.org news
2023-02,$5M ALAM (Advancing Latinx Art in Museums) initiative with Ford Getty Terra,flagship,fordfoundation.org
2023-11-28,Monuments Project commitment doubled to $500M total,flagship,mellon.org news + npr
2024,Frontera Culture Fund launched (US-Mexico borderlands),program,mellon.org annual report
2024,Affirming Multivocal Humanities inaugural cohort ($18M+),program,mellon.org annual report
2024,Higher Learning paid internships at five large public universities ($25M),program,mellon.org annual report
2024,FY2024: ~650 grants paid totaling ~$540M (annual report) / $635.4M (990-PF Part I),money,mellon.org annual report + propublica
