name,role,start_year,end_year,notes,source
John S. Johnson III,Founder / Founding Executive Director,1997,2004,Filmmaker; Johnson & Johnson family heir,Wikipedia
David S. Johnson,Co-founder,1997,,Digital artist; co-founder with Johnson III,Wikipedia
Roderic R. Richardson,Co-founder,1997,,Mutual friend who introduced Johnson III and David S. Johnson,Wikipedia
Steven Tremble,Executive Director,2004,2005,Brief tenure between Johnson and Crowley,Wikipedia
Amanda McDonald Crowley,Executive Director,2005,2011,,Wikipedia
Patricia C. Jones,Executive Director,2011,2015,,Wikipedia
Roddy Schrock,Executive Director,2015,2025,Decade through Bushwick move + Rapid Response + Democracy Machine,Wikipedia / eyebeam.org
Sheetal Prajapati,Interim Executive Director,2025,2026,Started July 1 2025; previously Director of Public Engagement at Pioneer Works,eyebeam.org announcement
Julia Kaganskiy,Executive Director,2026,,Founding Director of NEW INC at New Museum (2014-2018); Global Editor of VICE The Creators Project (2010-2013); announced April 6 2026,eyebeam.org announcement
Jonah Peretti,Director of R&D,,,BuzzFeed founder; produced Fundrace + reBlog at Eyebeam,Wikipedia
Marisa Mazria Katz,Director / Center for the Future of Journalism,2018,,Leads CFFJ since 2018 launch,Wikipedia
Tyrone Martin,Chief Operating Officer,,,Listed on current people page,eyebeam.org
Michael Ross,Director of Development,,,Listed on current people page,eyebeam.org
Nat Lemus,Digital Information & Communications Associate,,,Listed on current people page,eyebeam.org
Emma Canarick,Board Chair,,,Current,eyebeam.org
Kenyatta Cheese,Board Vice-Chair,,,Current; also $1K+ individual donor,eyebeam.org
Ellen Sandor,Board Secretary,,,Current; also $1K+ individual donor,eyebeam.org
Craig Ingwer,Board Interim Treasurer,,,Current,eyebeam.org
Salome Asega,Board Member,,,Current; also serves on Rhizome board (sibling-org tie),eyebeam.org
Ruby Lerner,Board Member,,,Long-time Creative Capital president; current Eyebeam board,eyebeam.org
Robert Ransick,Board Member,,,Current,eyebeam.org
R. Luke DuBois,Advisory Board,,,Recurring AC-orbit figure,eyebeam.org
Matt Corwine,Advisory Board,,,Current,eyebeam.org
Bill Foulkes,Advisory Board,,,Current,eyebeam.org
Susan Gladstone,Advisory Board,,,Current,eyebeam.org
Jordan Harris,Advisory Board,,,Current,eyebeam.org
Ramsey Nasser,Advisory Board,,,Current; also recurring SFPC teacher (sibling-org tie),eyebeam.org
Kathleen O'Grady,Advisory Board,,,Current; also $1K+ individual donor,eyebeam.org
David Zicarelli,Advisory Board,,,Founder of Cycling '74 / Max,eyebeam.org
Jordan Crandall,Curator,1998,1998,Curated 1998 Interaction online forum,Wikipedia
Alexander R. Galloway,Resident,2002,,Carnivore (Prix Ars Electronica Golden Nica 2002); reBlog,Wikipedia
Yury Gitman,Resident,2003,,Noderunner (Prix Ars Electronica Golden Nica 2003),Wikipedia
Carlos Gomez de Llarena,Resident,2003,,Noderunner co-author,Wikipedia
Cory Arcangel,Resident,2002,,Inaugural Open Studios cohort,Wikipedia
Michael Bell-Smith,Resident,2002,,Inaugural Open Studios cohort,Wikipedia
Yael Kanarek,Resident,2002,,Inaugural Open Studios cohort,Wikipedia
John Klima,Resident,2002,,Inaugural Open Studios cohort,Wikipedia
G. H. Hovagimyan,Resident,2002,,Inaugural Open Studios cohort,Wikipedia
Tony Martin,Resident,2002,,Inaugural Open Studios cohort,Wikipedia
Jem Cohen,Resident,2002,,Inaugural Open Studios cohort,Wikipedia
MTAA,Resident,2002,,Inaugural Open Studios cohort,Wikipedia
Theo Watson,R&D Fellow,,,co-developed openFrameworks,Wikipedia
Zachary Lieberman,R&D Fellow,,,co-developed openFrameworks,Wikipedia
James Powderly,OpenLab Fellow,2005,,Co-founded Graffiti Research Lab at Eyebeam,Wikipedia
Evan Roth,OpenLab Fellow,2005,,Co-founded Graffiti Research Lab at Eyebeam,Wikipedia
Ayah Bdeir,Resident,,,Created littleBits at Eyebeam; MoMA permanent collection 2011,Wikipedia
Tahir Hemphill,Resident,,,Rap Research Lab,eyebeam.org
Tega Brain,Resident,2015,,Project Resident,Wikipedia
LaJuné McMillian,Resident,2019,,Black Movement Project,Wikipedia
Yo-Yo Lin,Resident,2019,,2019 Access cohort,Wikipedia
Shannon Finnegan,Resident,2019,,2019 Access cohort,Wikipedia
Movers & Shakers NYC,Resident,2019,,2019 Access cohort,Wikipedia
Valencia James,Rapid Response Fellow,2020,,Volumetric Performance Toolbox,press
Harris Kornstein,Rapid Response Fellow,2020,,The Digital Prepper Toolkit,press
BUFU (By Us For Us),Resident,,,Listed on current artists page,eyebeam.org
Hyphen-Labs,Resident,,,Listed on current artists page,eyebeam.org
