program,launched,status,description,key_funders,source
Digital Day Camp,1998,Active (continuous),Youth web-development and design program. Project-based learning across bioart urban interventionism game design wearable tech,(operational + recurring),Wikipedia
Interaction (online forum),1998,One-time,"Online discussion curated by Jordan Crandall (Manovich Hayles Sassen Obrist Critical Art Ensemble Mark Tribe et al)",,Wikipedia
Open Studios,2002,Active,Public studio visits with residency cohort,(self-supported),Wikipedia
Residency Program (R&D Fellowships),~2002,Restructured 2020 into Fractal Fellowships,Annual artist residencies (~20 residents/fellows per year through 2010s),(varies),Wikipedia
OpenLab,2005,Concluded ~2017,Project residency under which openFrameworks Graffiti Research Lab littleBits and others were developed,(varies),Wikipedia
MIXER,2007,Active 2007-~2015,Live performance series featuring video/audio collaboration. Curated by Paul Amitai initially. Inaugural event "Brother Islands",(self-supported),Wikipedia
"openFrameworks (Watson + Lieberman)",2005,Active (independent),C++ creative-coding library born from Eyebeam fellowships; now standard in art-school curricula,(seeded by Eyebeam fellowship),Wikipedia
Graffiti Research Lab (Powderly + Roth),2005,Spun out,LED-throwie kits laser-tag projection rigs viral video documentation,(seeded by Eyebeam OpenLab),Wikipedia
littleBits (Bdeir),2008,Spun out (sold 2019),DIY snap-together circuit kits; entered MoMA permanent collection 2011,(seeded by Eyebeam),Wikipedia
Art + Feminism Wikipedia Edit-A-Thon (host),2014,Recurring,Hosted at Chelsea space Feb 2014; co-organized by Laurel Ptak,,Wikipedia
"Eyebeam Center for the Future of Journalism (CFFJ)",2018,Active,Grant-making to artist-journalists; supported work has won Pulitzer citations and Emmy Awards,(varies),Wikipedia / eyebeam.org
"Rapid Response for a Better Digital Future",2020-05,Concluded,"Inaugural fully-digital fellowship; 30 artists Phase I (Jul 2020) + 8 artists Phase II (Oct 2020 up to $25K each)",Mellon $150K + Henry Luce $150K,eyebeam.org / mellon.org
The Democracy Machine,2021-10-28,Concluded 2024,3-year $1.5M 75-artist distributed fellowship; authority handed to artists themselves,Ford $650K + Mellon ~$1.1M + Henry Luce $150K,eyebeam.org / artnet
Fractal Fellowships,~2020,Active (label for restructured residency),"Restructured residency post-2020; expected to support 60-90 artists in first 24 months",Ford + Mellon + Henry Luce,artnews.com
Eyebeam + Momus + Forge Project Indigenous-writers residency,2023-Spring,One-time,Virtual + in-person residency for Indigenous emerging art writers and editors,Mellon $92.4K (9mo),mellon.org
AI & arts convening,2024,Discrete,Convening on artificial intelligence and its impact on the arts and culture field,Mellon $150K (12mo),mellon.org
Speculating on Plurality,2025-2026,Active,"12-week project-based residency for 6 NYC-based emerging artists hosted at NYU Tandon; ""new frameworks platforms interventions or inventions to address the issues and ideas most critical to building the futures we seek""",Jerome Foundation,eyebeam.org / jeromefdn.org
Atelier (legacy framing),(legal name 1997-),Symbolic,"Used in legal name (Eyebeam Atelier Inc) and surfaced as ""a place artists can call home"" framing in current ED Kaganskiy April 2026 message; not currently a separately-named program",,eyebeam.org
Project Anywhere,(uncertain),TBD,Phrase appears in earlier announcements but not located on current 2025-2026 program list — may be retired or merged into Democracy Machine / Speculating on Plurality lineage,,TBD (flagged in README)
VH Award,~2023,One-time/recurring (TBD),Listed on changelog as added to programs page May 2023; relationship to Hyundai VH Award TBD,,eyebeam changelog
