date,event,source
2013,SFPC LLC formed; first 10-week session; 15 students; $700-per-student tuition refund returned; founders Lieberman Choi Pitaru Lowe; admin Casey Gollan,01/readme.md + 2013-income.csv
2014-Spring,first short 2-week session at Orbital 155 Rivington (not profitable),2015/readme.md
2014-Fall,Steering Committee formed (Pitaru Burtch Benedetto Gardner Choi Brain Lieberman),2015/readme.md
2015-05,Casey Gollan departs administrator role,2015/readme.md
2015-06/07,short-term cash-flow problem; Choi loans $2000 from personal account; repaid Jul 27,2015/readme.md
2015-Summer,Lauren Gardner joins as co-administrator with Choi; first part-time evening session at Babycastles,2015/readme.md
2018-Spring,first session at Westbeth Artists Housing 155 Bank St; Spring profit $11015,2018/readme.md
2018,reserved $43946 surplus,2019/readme.md (retrospective)
2019-08,Poetic Computation: Detroit (Knight Foundation sponsored remote),2019/readme.md
2019-09,SFPC Summer at YCAM Yamaguchi Japan,2019/readme.md
2019,full year deficit -$84475 (caused by year-round admin stipends + two break-even sponsored remotes),2019/readme.md
2020-Spring,Spring 2020 cancelled due to COVID-19; GoFundMe launched,GoFundMe page
2020,Lieberman publicly steps down; school transitions to collective stewardship; SFPC Stewards governance model (Aliyu Anderson American-Artist Bomani Hoff Macdonald),Wikipedia
2020+,pivot to online classes,sfpc.io archive
2024 (approx),Co-Director model + Board of Directors language adopted on sfpc.study/about,sfpc.study/about
2026-06,Future Schools residency at National Academy of Design begins,sfpc.study
2026-08,Future Schools residency ends 2026-08-22,sfpc.study
