funder,type,years,amount_usd_total,program_supported,notes,source
Mellon Foundation,foundation,~2010-2025,multiple,"Curatorial Fund (I, II, III); Critical Collections; Collections Management; VanDerZee Collection; Capital Campaign","Multi-decade institutional partner; per-grant amounts in grants.csv",mellon.org grants database
Ford Foundation,foundation,2024,10000000,Endowment of Director and Chief Curator position,Position now styled Ford Foundation Director and Chief Curator,studiomuseum.org/press 2024-10
City of New York / NYC DCLA,government,(ongoing through campaign),62000000,Capital campaign for new building,Largest single source for new building,The Art Newspaper 2021
MacKenzie Scott,individual,2021,(undisclosed),Endowment,"Part of $2.74B 2021 disbursement; specific amount not published by museum",studiomuseum.org/press 2021-06
NYSCA,government,(recurring),TBD,General operations / programming,New York State Council on the Arts; recurring funder including 2025 inaugural support,studiomuseum.org/press
NYC Department of Cultural Affairs,government,(recurring),TBD,Cultural Affairs base support + capital,Recurring,studiomuseum.org/press
NEA,government,(recurring),TBD,Programs,Recurring funder; specific entries TBD,inferred
Andy Warhol Foundation,foundation,(recurring),TBD,Visual Arts,Supported Tom Lloyd 2025 inaugural exhibition; recurring,studiomuseum.org/press
Henry Luce Foundation,foundation,2025,TBD,Inaugural exhibitions and publications,Major support for 2025 reopening exhibitions,studiomuseum.org/press 2025-11
Bank of America,corporate,2025,TBD,Lead opening + inaugural exhibitions sponsor,Lead opening sponsor,studiomuseum.org/press 2025-11
Holly Peterson Foundation,foundation,2025,TBD,Tom Lloyd 2025 exhibition,Trustee Holly Peterson's family foundation,studiomuseum.org/press 2025-11
Robert Lehman Foundation,foundation,2025,TBD,AIR alumni installation grant,Artist-in-Residence alumni installation,studiomuseum.org/press 2025-11
MetLife Foundation,corporate,2025,TBD,Community Day support,Reopening Community Day,studiomuseum.org/press 2025-11
Movado Group Foundation,corporate,2025,TBD,Community Day support,Reopening Community Day,studiomuseum.org/press 2025-11
Art Bridges,foundation,2025,TBD,Studio Sundays programming,,studiomuseum.org/press 2025-11
Terra Foundation for American Art,foundation,2025,TBD,Collection handbook,,studiomuseum.org/press 2025-11
Glenstone Foundation,foundation,(recurring),TBD,Artist-in-Residence Program,2026 cohort funded by Glenstone,studiomuseum.org/press 2026
Jerome Foundation,foundation,(recurring),TBD,Artist-in-Residence Program,Recurring AIR funder,jeromefdn.org
Joyce Alexander Wein Endowment / George Wein,individual / family,2006-,(undisclosed),Joyce Alexander Wein Artist Prize,$50K annual prize since 2006,studiomuseum.org/wein-prize
Target Corporation,corporate,2009-,TBD,Target Free Sundays,Naming sponsor of free-admission program,studiomuseum.org
Rockefeller Brothers Fund,foundation,(historical),TBD,Founding-era support,Listed RBF as historical supporter,rbf.org
Peggy Cooper Cafritz (estate),individual / bequest,2018,(in-kind),Bequest of 400+ contemporary artworks to permanent collection,Major collection bequest,studiomuseum.org
IMLS,government,(recurring),TBD,General museum operations,Recurring federal funding,inferred
Fred Eychaner,individual,(claimed lead gift),(unverified),Capital campaign (per intake brief),"NOT CONFIRMED in public record on this draft pass; not on Wikipedia donor lists or museum press materials reviewed",TBD
