funder,type,years,amount_usd_total,program_supported,notes,source
Dustin Yellin (founder, individual / via art sales),individual / founder,2011-2012,~3900000,Building purchase + initial renovation,"$3.7M building + ~$200K initial renovation budget; documented in FvF + BkMag as ""initially financed through Yellin's artwork sales""",FvF 2017 / BkMag 2022
Empire State Development (NYS),government,2024-2025,2300000,$12.7M accessibility renovation,Of $12.7M total renovation cost; balance was private,ESD 2025
NYSCA,government,(recurring),TBD,General operations / programming,Likely recurring; not separately broken out in ProPublica summary,inferred
NEA,government,(recurring),TBD,General operations / programming,Likely recurring; not yet confirmed by grant ID,inferred
NYC Department of Cultural Affairs,government,(recurring),TBD,Cultural Affairs base support,Cumbo / DCLA referenced in ESD 2025 release,ESD 2025
Hearst family / Austin Hearst,individual board,(ongoing),TBD,Major donor + board chair,Chair since 2023,ArtForum 2023
David Belt,individual board,(ongoing),TBD,Major donor + co-vice-chair,Co-vice-chair per ESD 2025,ESD 2025
Capital Campaign donors (collective),individual / institutional,2019-2024,~28300000,$30M capital campaign for accessibility + observatory,$28.3M raised by Aug 2024 toward $30M goal; specific donor breakdown not public,ArchPaper 2024
Christie's,auction house,?,?,Annual benefit auction (TBD),Prompt referenced ""Christie's PW Spring Benefit"" — unconfirmed in this pass; current Pioneer Works fundraiser is Village Fête + auction.pioneerworks.org,TBD
Ford Foundation,foundation,TBD,TBD,General / programmatic,Manus prior employer; potential funder TBD,inferred (TBD)
Mellon Foundation,foundation,TBD,TBD,(unconfirmed),Searches did not return Pioneer Works in Mellon database; absence plausible (Mellon is humanities-leaning),TBD
